"id","course_id","course_academia_panel_name","status","added_date","modified_date"
"1","1","Academia Panel","A","2019-10-17 14:08:42",NULL
"2","2","Academia Panel","D","2019-10-19 13:48:51","2019-10-23 15:10:44"
"3","3","Industry Academia Panel","D","2019-10-21 17:58:03","2023-08-30 15:08:52"
"4","4","Industry Academia Panel","D","2019-10-21 18:54:10","2023-10-30 22:10:23"
"5","5","Industry Academia Panel","A","2019-10-21 21:18:55",NULL
"6","6","Industry Academia Panel","D","2019-10-22 11:54:07","2023-07-26 15:07:52"
"7","7","Industry Academia Panel","A","2019-10-22 12:13:05","2020-04-21 19:04:29"
"8","8","Industry Academia Panel","A","2019-10-22 14:03:24","2019-10-22 14:10:58"
"9","10","Industry Academia Panel","A","2019-10-22 16:06:04",NULL
"10","11","Industry Academia Panel","P","2019-10-22 16:36:32",NULL
"11","11","Industry Academia Panel","A","2019-10-22 16:58:42","2020-04-21 19:04:13"
"12","9","Industry Academia Panel","D","2019-10-22 17:42:02","2023-07-28 13:07:35"
"13","12","Industry Academia Panel","A","2019-10-22 18:14:07",NULL
"14","14","Industry Academia Panel","A","2019-10-22 18:51:34",NULL
"15","13","Industry Academia Panel","A","2019-10-22 19:11:22","2021-08-23 21:08:06"
"16","16","Industry Academia Panel","A","2019-10-23 12:26:27","2023-05-03 17:05:40"
"17","15","Industry Academia Panel","A","2019-10-23 12:36:30","2020-05-18 12:05:05"
"18","18","Industry Academia Panel","A","2019-10-23 12:42:53","2019-10-23 12:10:14"
"19","17","Industry Academia Panel","P","2019-10-23 13:09:35","2025-03-25 21:03:59"
"20","20","Industry Academia Panel","A","2019-10-23 13:40:07","2020-04-27 20:04:22"
"21","19","Industry Academia Panel","P","2019-10-23 14:07:04","2023-10-31 21:10:10"
"22","23","Industry Academia Panel","A","2019-10-23 16:16:29",NULL
"23","2","Industry Academia Panel","D","2019-10-23 16:31:38","2023-11-02 15:11:23"
"24","22","Industry Academia Panel","A","2019-10-23 17:38:42","2020-07-10 16:07:57"
"25","25","Industry Academia Panel","A","2019-10-24 17:00:43","2020-04-25 16:04:41"
"26","26","Industry Academia Panel","P","2019-10-25 15:06:36",NULL
"27","26","Industry Academia Panel","A","2019-10-25 15:08:39",NULL
"28","27","Industry Academia Panel","A","2019-11-12 18:28:12","2019-11-12 18:11:47"
"29","28","Industry Academia Panel","A","2019-11-12 19:43:35","2019-11-12 19:11:09"
"30","29","Industry Academia Panel","A","2019-11-13 00:00:30","2020-07-21 15:07:54"
"31","30","Industry Academia Panel","A","2019-11-13 00:34:56",NULL
"32","31","Industry Academia Panel","A","2019-11-13 02:19:52",NULL
"33","32","Industry Academia Panel","A","2019-11-13 15:21:03",NULL
"34","33","Industry Academia Panel","A","2019-11-13 15:53:15",NULL
"35","34","Industry Academia Panel","A","2019-11-14 00:05:21",NULL
"36","35","Industry Academia Panel","A","2019-11-14 00:39:23",NULL
"37","36","Industry Academia Panel","A","2019-11-14 01:13:43",NULL
"38","37","Industry Academia Panel","A","2019-11-14 02:20:06",NULL
"39","38","Industry Academia Panel","A","2019-11-14 02:58:44",NULL
"40","39","Industry Academia Panel","A","2019-11-15 00:33:28","2021-09-23 12:09:59"
"41","40","Industry Academia Panel","A","2019-11-15 00:52:44",NULL
"42","41","Industry Academia Panel","A","2019-11-15 01:18:34",NULL
"43","42","Industry Academia Panel","A","2019-11-15 02:58:46","2019-11-15 02:11:01"
"44","62","Industry Academia Panel","A","2019-11-22 00:14:27",NULL
"45","68","Industry Academia Panel","A","2019-12-10 15:46:26",NULL
"46","72","Industry Academia Panel","A","2020-01-20 17:19:32","2020-04-21 20:04:40"
"47","74","Industry Academia Panel","A","2020-03-25 20:37:21","2020-04-21 20:04:12"
"48","75","Industry Academia Panel","A","2020-04-08 17:34:39","2020-04-08 21:04:31"
"49","76","Industry Academia Panel","A","2020-04-10 16:58:59","2023-10-31 21:10:34"
"50","78","Industry Academia Panel","A","2020-05-04 15:23:53",NULL
"51","95","Industry Academia Panel","D","2020-07-22 13:21:21","2023-09-23 16:09:56"
"52","71","Industry Academia Panel","A","2020-07-24 15:09:08",NULL
"53","98","Industry-Academia Panel","A","2020-09-01 14:15:28",NULL
"54","101","Industry Academia Panel","A","2020-09-11 13:30:18","2024-08-22 19:08:55"
"55","104","Industry Academia Panel","A","2020-09-25 14:09:48","2020-11-02 13:11:58"
"56","105","Industry Academia Panel","A","2020-10-03 13:21:48","2021-09-23 12:09:37"
"57","109","Academia Panel","P","2020-10-29 10:16:45",NULL
"58","99","Industry Academia Panel","A","2020-12-05 14:58:54",NULL
"59","121","Industry Academia Panel","A","2021-01-26 13:04:44",NULL
"60","126","Industry Academia Panel","A","2021-04-07 19:31:35","2021-05-13 15:05:18"
"61","131","Industry Academia Panel","D","2021-04-16 21:59:42","2023-08-22 13:08:45"
"62","132","Industry Academia Panel","P","2021-04-17 15:27:26","2023-10-30 17:10:10"
"63","136","Industry Academia Panel","A","2021-05-26 17:48:17",NULL
"64","143","Industry contributors","A","2021-06-30 13:50:35",NULL
"65","144","Industry Academia Panel","P","2021-06-30 15:05:12",NULL
"66","145","Industry contributors","A","2021-06-30 15:37:48",NULL
"67","147","Industry Academia Panel","A","2021-07-24 13:58:04",NULL
"68","148","Industry Academia Panel","A","2021-07-24 15:54:24",NULL
"69","149","Industry Academia Panel","D","2021-07-24 19:27:43","2023-10-30 21:10:13"
"70","152","Industry Academia Panel","A","2021-08-13 16:28:00","2024-02-29 20:02:45"
"71","153","Industry Academia Panel","A","2021-08-14 11:34:03","2021-09-23 12:09:08"
"72","154","Industry Academia Panel","D","2021-08-14 15:09:57","2023-10-30 21:10:17"
"73","173","Industry Academia Panel","A","2022-01-13 16:47:45","2022-01-13 18:01:29"
"74","174","Industry Academia Panel","P","2022-01-13 18:28:45","2023-10-31 21:10:38"
"75","175","Industry Academia Panel","P","2022-01-13 19:58:22",NULL
"76","175","Industry Academia Panel","A","2022-01-13 20:03:13","2022-01-13 20:01:17"
"77","176","Industry Academia Panel","A","2022-01-13 20:40:05",NULL
"78","180","Industry contributors","P","2022-02-18 19:44:07","2025-03-25 21:03:21"
"79","181","Industry Academia Panel","A","2022-02-19 12:22:08",NULL
"80","181","Industry Academia Panel","P","2022-02-19 12:22:18","2023-12-08 14:12:50"
