"id","course_id","course_faculty_name","status","added_date","modified_date"
"1","1","Here are some of our faculty members","A","2019-10-17 14:18:41",NULL
"2","3","Here are some of our faculty members","A","2019-10-21 17:59:48","2023-10-11 18:10:14"
"3","4","Here are some of our faculty members","A","2019-10-21 18:54:35","2025-03-25 19:03:00"
"4","5","Here are some of our faculty members","D","2019-10-21 21:20:02","2023-07-17 15:07:22"
"5","6","Here are some of our faculty members","A","2019-10-22 11:58:54","2025-03-27 14:03:53"
"6","7","Here are some of our faculty members","A","2019-10-22 12:13:41","2020-04-21 19:04:19"
"7","8","Here are some of our faculty members","D","2019-10-22 14:12:58","2019-11-18 12:11:23"
"8","10","Here are some of our faculty members","A","2019-10-22 16:06:48","2021-07-20 15:07:21"
"9","11","Here are some of our faculty members","A","2019-10-22 17:01:26","2019-12-04 16:12:40"
"10","9","Here are some of our faculty members","D","2019-10-22 17:55:28","2021-05-13 16:05:23"
"11","9","Here are some of our faculty members","A","2019-10-22 17:57:57","2025-04-16 14:04:00"
"12","12","Here are some of our faculty members","A","2019-10-22 18:15:05","2020-04-20 20:04:28"
"13","14","Here are some of our faculty members","A","2019-10-22 18:52:08","2021-07-20 15:07:14"
"14","13","Here are some of our faculty members","A","2019-10-22 19:14:30","2021-07-20 15:07:02"
"15","16","Here are some of our faculty members","A","2019-10-23 12:27:03","2021-07-20 15:07:21"
"16","15","Here are some of our faculty members","A","2019-10-23 12:37:01","2020-09-22 16:09:23"
"17","18","Here are some of our faculty members","A","2019-10-23 12:48:56","2021-02-12 19:02:29"
"18","20","Here are some of our faculty members","A","2019-10-23 13:40:28","2025-02-08 15:02:51"
"19","19","Here are some of our faculty members","A","2019-10-23 14:09:54","2025-03-25 19:03:15"
"20","23","Here are some of our faculty members","A","2019-10-23 16:16:55","2023-10-30 21:10:17"
"21","2","Here are some of our faculty members","A","2019-10-23 16:36:08","2025-03-25 20:03:03"
"22","22","Here are some of our faculty members","A","2019-10-23 17:39:16","2025-04-16 14:04:38"
"23","25","Here are some of our faculty members","A","2019-10-24 17:01:47",NULL
"24","26","Here are some of our faculty members","D","2019-10-25 15:10:51","2019-11-18 12:11:22"
"25","72","Here are some of our faculty members","A","2020-01-20 17:29:56","2020-06-03 19:06:17"
"26","73","Here are some of our faculty members","P","2020-02-21 18:57:10","2024-04-09 17:04:46"
"27","74","Here are some of our faculty members","A","2020-03-25 20:38:29","2021-07-20 15:07:27"
"28","75","Here are some of our faculty members","A","2020-04-08 17:35:12","2020-04-08 21:04:21"
"29","76","Here are some of our faculty members","A","2020-04-10 17:28:33","2023-10-30 21:10:35"
"30","17","Here are some of our faculty members","A","2020-04-21 19:50:01","2025-03-25 19:03:44"
"31","78","Here are some of our faculty members","P","2020-05-04 15:24:21","2025-04-01 14:04:39"
"32","63","Here are some of our faculty members","A","2020-05-29 17:18:24","2021-05-16 18:05:08"
"33","89","Here are some of our faculty members","P","2020-06-25 15:04:48","2024-04-15 17:04:47"
"34","90","Here are some of our faculty members","A","2020-06-29 21:04:43","2022-01-10 15:01:11"
"35","91","Here are some of our faculty members","A","2020-07-08 09:38:27","2021-10-01 22:10:53"
"36","92","Here are some of our faculty members","A","2020-07-11 09:11:19","2021-07-20 15:07:01"
"37","93","Here are some of our faculty members","A","2020-07-18 16:08:04","2020-07-18 16:07:15"
"38","94","Here are some of our faculty members","A","2020-07-20 16:16:18","2021-07-20 16:07:34"
"39","95","Here are some of our faculty members","A","2020-07-22 13:22:16","2025-03-25 19:03:03"
"40","71","Here are some of our faculty members","A","2020-07-24 15:09:56",NULL
"41","69","Here are some of our faculty members","A","2020-07-30 13:21:24","2020-07-30 14:07:13"
"42","96","Here are some of our faculty members","A","2020-08-07 16:31:49","2020-11-20 17:11:36"
"43","97","Here are some of our faculty members","A","2020-08-18 20:44:47","2020-08-18 22:08:59"
"44","98","Here are some of our faculty members","A","2020-09-01 14:16:31","2020-10-15 17:10:13"
"45","100","Here are some of our faculty members","A","2020-09-08 14:39:53",NULL
"46","101","Here are some of our faculty members","A","2020-09-11 13:29:08","2024-08-22 19:08:40"
"47","102","Here are some of our faculty members","D","2020-09-15 14:09:07","2024-04-07 11:04:41"
"48","103","Here are some of our faculty members","D","2020-09-18 13:48:12","2020-09-18 13:09:18"
"49","104","Here are some of our faculty members","A","2020-09-25 14:10:45","2020-11-02 13:11:25"
"50","106","Here are some of our faculty members","A","2020-10-09 13:23:30","2020-10-09 19:10:23"
"51","105","Here are some of our faculty members","A","2020-10-14 18:23:13","2025-02-08 17:02:00"
"52","108","Here are some of our faculty members","A","2020-10-26 17:25:13","2020-10-26 18:10:28"
"53","109","Here are some of our faculty members","P","2020-10-29 10:16:45",NULL
"54","111","Here are some of our faculty members","A","2020-11-03 17:33:46",NULL
"55","113","Here are some of our faculty members","A","2020-11-05 11:39:45","2020-11-05 18:11:26"
"56","116","Here are some of our faculty members","A","2020-11-27 14:08:40","2021-04-20 18:04:38"
"57","99","Here are some of our faculty members","A","2020-12-05 15:09:11",NULL
"58","117","Here are some of our faculty members","A","2020-12-08 13:39:06","2020-12-08 14:12:34"
"59","70","Here are some of our faculty members","A","2021-01-19 16:28:39","2021-07-15 17:07:19"
"60","103","Here are some of our faculty members","A","2021-01-25 15:52:40","2021-01-25 15:01:56"
"61","121","Here are some of our faculty members","A","2021-01-26 13:05:39",NULL
"62","123","Here are some of our faculty members","A","2021-02-05 13:59:28","2021-02-05 15:02:12"
"63","122","Here are some of our faculty members","A","2021-02-05 16:07:25","2023-11-02 13:11:57"
"64","120","Here are some of our faculty members","A","2021-02-08 13:36:01","2022-08-12 14:08:49"
"65","124","Here are some of our faculty members","P","2021-02-10 12:15:03","2024-04-18 10:04:12"
"66","126","Here are some of our faculty members","A","2021-04-07 19:32:54","2025-04-16 14:04:49"
"67","130","Here are some of our faculty members","A","2021-04-11 15:07:44","2022-08-12 14:08:56"
"68","128","Here are some of our faculty members","A","2021-04-12 15:24:41",NULL
"69","131","Here are some of our faculty members","A","2021-04-16 22:01:55","2025-03-28 13:03:59"
"70","132","Here are some of our faculty members","D","2021-04-17 15:29:41","2023-08-21 23:08:11"
"71","133","Here are some of our faculty members","P","2021-04-26 12:31:10","2024-04-09 18:04:42"
"72","134","Here are some of our faculty members","A","2021-04-26 12:57:43","2021-07-21 17:07:12"
"73","135","Here are some of our faculty members","P","2021-05-19 17:04:01","2021-05-19 18:05:22"
"74","136","Here are some of our faculty members","A","2021-05-26 17:48:45","2021-07-20 15:07:18"
"75","140","Here are some of our faculty members","A","2021-06-12 06:37:11","2024-10-09 15:10:21"
"76","141","Here are some of our faculty members","A","2021-06-25 20:09:30","2021-06-25 20:06:34"
"77","142","Here are some of our faculty members","A","2021-06-27 11:41:21","2023-10-30 21:10:31"
"78","143","Here are some of our faculty members","P","2021-06-30 13:51:22","2025-04-16 14:04:59"
"79","144","Here are some of our faculty members","P","2021-06-30 15:05:12",NULL
"80","145","Here are some of our faculty members","A","2021-06-30 15:38:11","2025-04-16 14:04:41"
"81","146","Here are some of our faculty members","P","2021-07-22 13:54:00",NULL
"82","147","Here are some of our faculty members","A","2021-07-24 13:59:09",NULL
"83","148","Here are some of our faculty members","A","2021-07-24 15:54:49","2021-08-14 11:08:57"
"84","149","Here are some of our faculty members","D","2021-07-24 19:28:23","2023-10-10 22:10:59"
"85","150","Here are some of our faculty members","A","2021-07-25 17:18:45","2025-04-10 18:04:05"
"86","152","Here are some of our faculty members","A","2021-08-13 16:28:56","2025-04-16 14:04:07"
"87","153","Here are some of our faculty members","A","2021-08-14 11:34:33","2021-09-22 16:09:25"
"88","154","Here are some of our faculty members","D","2021-08-14 15:10:17","2023-09-01 11:09:51"
"89","158","Here are some of our faculty members","A","2021-08-28 12:02:05","2023-11-02 13:11:49"
"90","159","Here are some of our faculty members","A","2021-08-28 14:37:27","2023-11-02 13:11:30"
"91","160","Here are some of our faculty members","A","2021-08-28 15:50:38","2021-08-28 15:08:32"
"92","164","Here are some of our faculty members","A","2021-09-06 15:29:20",NULL
"93","165","Here are some of our faculty members","A","2021-09-11 12:42:14",NULL
"94","166","Here are some of our faculty members","A","2021-10-08 16:14:27","2023-11-02 13:11:07"
"95","168","Here are some of our faculty members","P","2021-11-26 12:46:09","2024-04-16 17:04:08"
"96","172","Here are some of our faculty members","A","2022-01-07 17:33:48","2024-05-10 16:05:00"
"97","173","Here are some of our faculty members","A","2022-01-13 16:48:03","2022-01-13 18:01:44"
"98","174","Here are some of our faculty members","A","2022-01-13 18:29:29","2025-03-25 18:03:07"
"99","175","Here are some of our faculty members","A","2022-01-13 20:03:49","2023-10-31 18:10:40"
"100","176","Here are some of our faculty members","A","2022-01-13 20:40:18","2022-01-13 20:01:13"
"101","177","Here are some of our faculty members","A","2022-01-13 21:31:58","2022-11-23 16:11:49"
"102","180","Here are some of our faculty members","P","2022-02-18 19:44:46",NULL
"103","180","Here are some of our faculty members","A","2022-02-18 21:24:37","2025-03-25 21:03:25"
"104","181","Here are some of our faculty members","A","2022-02-19 12:22:49","2025-03-25 19:03:38"
"105","182","Here are some of our faculty members","A","2022-02-20 05:48:08","2025-03-25 20:03:18"
"106","184","Learn from top lawyers, partners, international lawyers and our in-house experts who are serving as faculty:","A","2022-03-08 12:00:35","2022-03-23 13:03:29"
"107","189","Online Faculty and Guest Faculty","A","2022-06-18 14:46:08","2022-06-18 15:06:07"
"108","162","Faculty","A","2022-07-02 16:06:36","2025-05-02 19:05:15"
"109","191","Faculty","P","2022-07-22 12:59:51","2024-04-19 12:04:57"
"110","192","Faculty","A","2022-07-23 12:22:36",NULL
"111","195","Online Faculty and Guest Faculty","D","2022-09-25 12:55:08","2023-08-31 23:08:16"
"112","198","Faculty","A","2022-11-24 17:44:40","2023-10-30 21:10:10"
"113","199","Online Faculty","A","2022-11-25 15:25:27","2023-10-31 18:10:10"
"114","207","About the Speaker","A","2023-02-02 13:03:26","2023-04-19 10:04:17"
"115","208","Here are some of our faculty members","A","2023-02-09 13:25:34","2023-06-05 17:06:32"
"116","218","Online Faculty","A","2023-04-09 17:05:33",NULL
"117","225","Here are some of our faculty members","A","2023-05-03 16:51:48","2023-10-30 21:10:13"
"118","163","Our Course Anchor","A","2023-06-03 11:29:23","2026-01-29 22:01:03"
"119","190","Online Faculty","A","2023-06-03 12:33:18","2023-10-30 22:10:39"
"120","229","Online Faculty","A","2023-06-10 15:41:47","2025-11-07 19:11:12"
"121","232","List of Faculty","A","2023-06-28 13:49:00","2023-06-28 16:06:15"
"122","235","Here are some of our faculty members","P","2023-07-17 15:32:17",NULL
"123","241","Online Faculty","A","2023-08-25 18:03:47","2025-03-25 19:03:52"
"124","242","Here are some of our faculty members","A","2023-08-25 19:07:33",NULL
"125","243","Online Faculty","A","2023-08-25 19:41:15","2023-10-31 18:10:34"
"126","245","Here are some of our faculty members","P","2023-08-31 21:09:57","2024-04-16 12:04:00"
"127","249","Online Faculty","P","2023-09-21 20:04:52","2023-09-21 20:09:10"
"128","250","Here are some of our faculty members","A","2023-09-24 11:43:56","2025-04-16 14:04:17"
"129","132","Our Faculties","A","2023-10-30 17:07:47","2023-10-30 22:10:33"
"130","154","Here are some of our Faculty Members","A","2023-10-30 21:34:50","2025-04-16 14:04:26"
"131","222","Here are some of our Faculty Members","A","2023-10-30 21:43:35","2025-03-25 20:03:49"
"132","149","Here are some of our Faculty Members","A","2023-10-30 21:50:42",NULL
"133","195","Here are some of our Faculty Members","A","2023-10-30 22:06:05","2023-11-02 13:11:06"
"134","185","Here are some of our Faculty Members","A","2023-10-31 18:30:43",NULL
"135","226","Here are some of our Faculty Members","A","2023-10-31 18:31:25",NULL
"136","260","Online Faculty","A","2024-01-06 18:22:14","2025-03-25 20:03:32"
"137","161","Faculty Members","A","2024-01-19 21:01:09","2025-04-16 15:04:00"
"138","187","Regular Faculty","P","2024-02-01 16:19:45","2024-03-26 21:03:48"
"139","264","Online Faculty","A","2024-02-03 19:19:03",NULL
"140","268","Here are some of our Faculty Members","A","2024-03-02 15:02:46",NULL
"141","273","Here are some of our faculty members","A","2024-03-22 14:32:11","2025-03-25 19:03:09"
"142","281","Faculty","A","2024-05-03 13:07:59","2024-05-03 13:05:13"
"143","287","Online Faculty","A","2024-06-15 15:35:01","2025-05-28 16:05:48"
"144","299","Here are some of our faculty members","A","2024-08-23 13:08:46",NULL
"145","300","Faculty","A","2024-08-23 15:16:59","2024-08-23 15:08:14"
"146","301","Faculty","A","2024-08-23 20:53:45",NULL
"147","315","Course Creator","A","2025-01-03 23:50:33","2025-01-04 00:01:43"
"148","314","Course Creator","A","2025-01-04 10:22:44","2025-01-04 10:01:32"
"149","220","Here are some of our faculty members","A","2025-02-08 15:36:04","2025-03-25 19:03:30"
"150","272","Here are some of our faculty members","A","2025-02-08 16:27:07","2025-03-25 19:03:41"
"151","289","Here are some of our faculty members","A","2025-02-08 16:36:02","2025-03-25 19:03:26"
