"id","course_faculty_id","course_id","faculty_id","position","status","added_date","modified_date"
1,1,1,1,,A,1571302121,
2,1,1,2,,A,1571302121,
3,1,1,3,,A,1571302121,
20,7,8,1,,A,1571733778,
21,7,8,2,,A,1571733778,
22,7,8,3,,A,1571733778,
54,17,18,3,,A,1571815193,
55,17,18,19,,A,1571815193,
70,23,25,2,,A,1571916707,
71,24,26,2,,A,1571996451,
72,24,26,22,,A,1571996451,
76,9,11,7,,A,1575457720,
90,28,75,3,,A,1586362161,
91,28,75,30,,A,1586362161,
92,28,75,31,,A,1586362161,
93,29,76,32,,A,1586519914,
94,29,76,33,,A,1586519914,
95,29,76,34,,A,1586519914,
96,29,76,35,,A,1586519914,
97,29,76,36,,A,1586519914,
142,14,13,1,,A,1587393960,
143,14,13,3,,A,1587393960,
144,14,13,17,,A,1587393960,
155,4,5,1,,A,1587473477,
156,4,5,3,,A,1587473477,
157,4,5,26,,A,1587473477,
168,5,6,1,,A,1587476433,
169,5,6,3,,A,1587476433,
170,5,6,30,,A,1587476433,
171,5,6,38,,A,1587476433,
172,20,23,1,,A,1587477163,
173,20,23,3,,A,1587477163,
174,20,23,20,,A,1587477163,
175,20,23,39,,A,1587477163,
176,20,23,40,,A,1587477163,
183,6,7,1,,A,1587478099,
184,6,7,3,,A,1587478099,
185,6,7,41,,A,1587478099,
186,6,7,42,,A,1587478099,
187,8,10,3,,A,1587478222,
188,8,10,6,,A,1587478222,
189,8,10,31,,A,1587478222,
190,13,14,3,,A,1587478565,
191,13,14,16,,A,1587478565,
192,13,14,31,,A,1587478565,
193,30,17,43,,A,1587478801,
194,19,19,1,,A,1587478996,
195,19,19,20,,A,1587478996,
207,27,74,20,,A,1587480207,
208,27,74,26,,A,1587480207,
209,27,74,37,,A,1587480207,
213,26,73,2,,A,1587817573,
214,26,73,25,,A,1587817574,
215,26,73,46,,A,1587817574,
216,18,20,1,,A,1587999030,
217,18,20,3,,A,1587999030,
218,18,20,20,,A,1587999030,
219,18,20,39,,A,1587999030,
220,18,20,40,,A,1587999030,
221,31,78,47,,A,1588593313,
349,3,4,1,,A,1591193453,
350,3,4,3,,A,1591193453,
351,3,4,51,,A,1591193453,
352,3,4,52,,A,1591193453,
353,3,4,54,,A,1591193453,
364,25,72,24,,A,1591193717,
365,25,72,44,,A,1591193717,
366,25,72,45,,A,1591193717,
367,25,72,53,,A,1591193717,
368,2,3,1,,A,1591339326,
369,2,3,3,,A,1591339326,
370,2,3,32,,A,1591339326,
371,2,3,55,,A,1591339326,
435,34,90,56,,A,1594223409,
436,34,90,57,,A,1594223409,
437,34,90,59,,A,1594223409,
438,34,90,61,,A,1594223409,
439,22,22,1,,A,1594379813,
440,22,22,3,,A,1594379813,
441,22,22,24,,A,1594379813,
442,22,22,62,,A,1594379813,
448,36,92,3,,A,1594439667,
449,36,92,24,,A,1594439667,
450,36,92,63,,A,1594439667,
451,36,92,64,,A,1594439667,
453,37,93,1,,A,1595068695,
454,37,93,65,,A,1595068695,
458,38,94,1,,A,1595242063,
459,38,94,3,,A,1595242063,
460,38,94,7,,A,1595242063,
461,38,94,66,,A,1595242063,
462,38,94,67,,A,1595242063,
478,40,71,20,,A,1595583596,
479,39,95,1,,A,1595709983,
480,39,95,2,,A,1595709983,
481,39,95,3,,A,1595709983,
482,39,95,20,,A,1595709983,
483,39,95,39,,A,1595709983,
484,39,95,40,,A,1595709983,
485,39,95,68,,A,1595709983,
491,41,69,1,,A,1596097933,
492,41,69,25,,A,1596097933,
493,41,69,69,,A,1596097933,
500,43,97,25,,A,1597769819,
501,43,97,46,,A,1597769819,
502,43,97,70,,A,1597769819,
503,43,97,71,,A,1597769819,
509,33,89,3,,A,1597857205,
510,33,89,19,,A,1597857205,
511,33,89,25,,A,1597857205,
512,33,89,30,,A,1597857205,
513,33,89,46,,A,1597857205,
514,33,89,72,,A,1597857205,
518,45,100,25,,A,1599556193,
519,45,100,46,,A,1599556193,
520,45,100,70,,A,1599556193,
525,46,101,50,,A,1599814045,
526,46,101,66,,A,1599814045,
533,48,103,3,,A,1600417092,
541,10,9,1,,A,1600764295,
542,10,9,3,,A,1600764295,
543,10,9,7,,A,1600764295,
544,10,9,18,,A,1600764295,
545,11,9,1,,A,1600764330,
546,11,9,3,,A,1600764330,
547,11,9,7,,A,1600764330,
548,11,9,18,,A,1600764330,
549,11,9,50,,A,1600764330,
552,15,16,3,,A,1600765196,
553,15,16,16,,A,1600765196,
554,15,16,19,,A,1600765196,
555,15,16,31,,A,1600765196,
564,16,15,18,,A,1600773443,
565,16,15,66,,A,1600773443,
566,16,15,76,,A,1600773443,
615,32,63,1,,A,1601111915,
616,32,63,2,,A,1601111915,
617,32,63,3,,A,1601111915,
618,32,63,6,,A,1601111915,
619,32,63,7,,A,1601111915,
620,32,63,12,,A,1601111915,
621,32,63,15,,A,1601111915,
622,32,63,16,,A,1601111915,
623,32,63,17,,A,1601111915,
624,32,63,18,,A,1601111915,
