"id","course_id","course_faq_name","status","added_date","modified_date"
"1","1","FAQs","A","2019-10-17 15:12:50",NULL
"2","3","FAQs","A","2019-10-21 20:00:59","2019-11-15 15:11:12"
"3","4","FAQs","A","2019-10-21 20:40:13","2019-12-17 17:12:51"
"4","7","faq section","D","2019-10-22 13:06:58","2019-10-22 13:10:48"
"5","9","FAQs","A","2019-11-15 12:18:35","2019-12-09 19:12:42"
"6","10","FAQs","A","2019-12-14 14:04:15","2019-12-17 17:12:10"
"7","20","FAQs","D","2019-12-14 14:05:44","2020-01-11 18:01:12"
"8","17","FAQs","D","2019-12-17 17:21:08","2020-01-11 18:01:55"
"9","18","FAQs","D","2019-12-17 17:26:05","2021-03-27 15:03:55"
"10","19","FAQs","P","2019-12-17 17:38:56",NULL
"11","18","FAQs","A","2019-12-17 17:39:23","2021-03-27 16:03:36"
"12","18","FAQs","D","2019-12-17 17:39:44","2021-03-27 15:03:08"
"13","19","FAQs","A","2019-12-17 17:40:20",NULL
"14","15","FAQs","A","2019-12-17 17:41:07","2021-03-25 19:03:00"
"15","14","FAQs","P","2019-12-17 17:41:36",NULL
"16","14","FAQs","D","2019-12-17 17:41:54","2020-01-15 19:01:10"
"17","13","FAQs","P","2019-12-17 17:42:24",NULL
"18","13","FAQs","A","2019-12-17 17:42:49",NULL
"19","7","FAQs","A","2019-12-17 17:44:35",NULL
"20","11","FAQs","A","2019-12-17 17:45:41",NULL
"21","12","FAQs","A","2019-12-17 17:46:56",NULL
"22","22","FAQs","A","2019-12-17 19:04:51","2021-03-20 12:03:29"
"23","16","FAQs","A","2019-12-17 19:06:03",NULL
"24","2","FAQs","A","2019-12-17 19:15:40","2021-03-20 12:03:24"
"25","5","FAQs","A","2019-12-17 19:16:12","2023-07-14 19:07:09"
"26","6","FAQs","A","2019-12-17 19:19:01",NULL
"27","20","FAQs","A","2020-01-11 18:45:30",NULL
"28","17","FAQs","A","2020-01-11 18:46:22","2021-03-25 20:03:54"
"29","14","FAQs","P","2020-01-15 19:19:34",NULL
"30","14","FAQs","A","2020-01-15 19:22:01",NULL
"31","72","FAQs","A","2020-01-22 17:21:59","2021-03-20 13:03:14"
"32","78","FAQs","A","2020-05-04 15:46:42","2021-03-20 16:03:25"
"33","109","FAQs","P","2020-10-29 10:16:45",NULL
"34","99","FAQs","A","2020-11-27 20:10:54",NULL
"35","76","FAQs","A","2021-03-20 13:07:21","2021-03-20 13:03:37"
"36","95","FAQs","A","2021-03-22 21:15:46","2024-05-07 16:05:01"
"37","101","FAQs","A","2021-03-25 14:05:07","2021-03-25 14:03:21"
"38","105","FAQs","A","2021-03-27 10:38:20",NULL
"39","120","FAQs","A","2021-03-27 13:22:35",NULL
"40","75","FAQs","A","2021-03-27 14:16:25","2021-03-27 14:03:31"
"41","98","FAQs","A","2021-03-27 15:25:52",NULL
"42","74","FAQs","A","2021-03-27 16:46:22",NULL
"43","67","FAQs","A","2021-03-31 20:27:32","2021-04-12 15:04:06"
"44","92","FAQs","A","2021-04-01 10:34:37","2021-04-01 10:04:02"
"45","94","FAQs","A","2021-04-01 13:00:47",NULL
"46","103","FAQs","A","2021-04-01 13:29:00",NULL
"47","91","FAQs","A","2021-04-01 13:49:21",NULL
"48","93","FAQs","A","2021-04-01 13:52:27",NULL
"49","69","FAQs","A","2021-04-02 12:15:43","2021-04-02 19:04:14"
"50","90","FAQs","A","2021-04-02 13:31:26","2021-04-13 11:04:36"
"51","102","FAQs","A","2021-04-02 13:49:23","2021-04-13 11:04:34"
"52","123","FAQs","A","2021-04-02 14:52:00","2021-04-13 11:04:01"
"53","124","FAQs","A","2021-04-02 15:04:05","2021-04-13 11:04:51"
"54","73","FAQs","A","2021-04-02 22:33:06","2021-04-13 13:04:44"
"55","68","FAQs","A","2021-04-10 13:53:01","2021-04-10 13:04:54"
"56","130","FAQs","A","2021-04-12 14:16:26",NULL
"57","126","FAQs","A","2021-04-12 15:09:53",NULL
"58","70","FAQs","A","2021-04-12 15:49:14",NULL
"59","89","FAQs","A","2021-04-12 15:51:08",NULL
"60","97","FAQs","A","2021-04-13 11:09:50",NULL
"61","100","FAQs","A","2021-04-13 11:23:30",NULL
"62","106","FAQs","A","2021-04-13 11:32:40",NULL
"63","111","FAQs","A","2021-04-13 11:36:26",NULL
"64","116","FAQs","A","2021-04-13 11:41:05",NULL
"65","117","FAQs","A","2021-04-13 11:43:07",NULL
"66","127","FAQs","A","2021-04-13 12:01:42",NULL
"67","108","FAQs","A","2021-04-13 13:58:03",NULL
"68","63","FAQs","A","2021-04-13 14:08:24",NULL
"69","79","FAQs","A","2021-04-13 14:08:59",NULL
"70","64","FAQs","A","2021-04-13 14:12:50",NULL
"71","65","FAQs","A","2021-04-13 14:13:38",NULL
"72","8","FAQs","A","2021-04-13 14:18:45",NULL
"73","29","FAQs","A","2021-04-13 14:20:39",NULL
"74","30","FAQs","A","2021-04-13 14:22:49",NULL
"75","71","FAQs","A","2021-04-13 17:13:11",NULL
"76","62","FAQs","A","2021-04-13 17:16:28",NULL
"77","42","FAQs","A","2021-04-13 17:19:03",NULL
"78","61","FAQs","A","2021-04-13 17:22:30",NULL
"79","41","FAQs","A","2021-04-13 17:26:26",NULL
"80","40","FAQs","A","2021-04-13 17:28:16",NULL
"81","39","FAQs","A","2021-04-13 17:48:00",NULL
"82","38","FAQs","A","2021-04-13 17:50:05",NULL
"83","36","FAQs","A","2021-04-13 17:51:08",NULL
"84","35","FAQs","A","2021-04-13 17:54:56",NULL
"85","34","FAQs","A","2021-04-13 17:57:40",NULL
"86","33","FAQs","A","2021-04-13 17:59:39",NULL
"87","31","FAQs","A","2021-04-13 18:02:16","2021-04-13 18:04:57"
"88","28","FAQs","A","2021-04-13 18:30:44",NULL
"89","26","FAQs","A","2021-04-13 19:02:10",NULL
"90","27","FAQs","A","2021-04-13 19:05:24","2021-04-13 19:04:15"
"91","32","FAQs","A","2021-04-13 19:13:48",NULL
"92","25","FAQs","A","2021-04-13 19:18:37",NULL
"93","128","FAQs","A","2021-04-13 19:25:39",NULL
"94","96","FAQs","A","2021-04-13 19:29:10",NULL
"95","113","FAQs","A","2021-04-13 19:37:47",NULL
"96","82","FAQs","A","2021-04-13 19:40:35",NULL
"97","122","FAQs","A","2021-04-13 22:47:47","2021-04-13 22:04:54"
"98","104","FAQs","A","2021-04-13 23:43:36",NULL
"99","132","FAQs","A","2021-04-17 21:01:43",NULL
"100","144","FAQs","P","2021-06-30 15:05:12",NULL
"101","146","FAQs","P","2021-07-22 13:54:00",NULL
"102","141","FAQ","A","2021-07-22 14:06:11",NULL
"103","178","FAQ","A","2022-01-19 13:03:00",NULL
"104","225","FAQs","P","2023-05-03 16:51:48",NULL
"105","235","FAQs","P","2023-07-17 15:32:17",NULL
"106","177","FAQs","A","2023-08-22 11:41:59",NULL
"107","131","FAQs","A","2023-08-22 13:51:46",NULL
"108","195","FAQs","A","2023-08-31 23:52:29",NULL
"109","241","FAQs","A","2023-09-01 00:10:10",NULL
"110","220","FAQs","A","2023-09-01 00:24:53",NULL
"111","154","FAQs","A","2023-09-01 11:23:21",NULL
"112","166","FAQs","A","2023-09-01 14:34:32",NULL
"113","152","FAQs","D","2023-10-10 22:31:47","2023-10-10 22:10:09"
"114","273","FAQs","A","2024-03-22 15:14:05",NULL
