"id","course_id","form_id","course_form_name","status","added_date","modified_date"
"1","2","2","forms","D","2019-10-19 13:47:19","2019-10-23 15:10:20"
"2","2","2","forms","D","2019-10-19 13:47:19","2019-10-19 13:10:08"
"3","3","2","Do You Have Any Queries?","D","2019-10-21 20:01:43","2023-08-31 15:08:45"
"4","3","2","forms","A","2019-10-21 20:01:43","2021-01-21 16:01:27"
"5","7","2","forms","A","2019-10-22 11:45:05","2019-11-15 16:11:49"
"6","9","2","forms","A","2019-11-15 12:03:55",NULL
"7","9",NULL,"forms","D","2019-11-15 12:03:55","2019-11-15 12:11:06"
"8","2","2","forms","D","2019-11-15 12:36:34","2019-11-15 12:11:49"
"9","2","2","forms","P","2019-11-15 12:36:34","2021-01-21 16:01:39"
"10","6","2","forms","D","2019-11-15 13:25:41","2019-11-15 13:11:51"
"11","6","2","forms","A","2019-11-15 13:25:41","2019-11-15 13:11:28"
"12","5","2","forms","D","2019-11-15 13:53:10","2019-11-15 13:11:21"
"13","5","2","forms","P","2019-11-15 13:53:10","2023-06-27 15:06:42"
"14","22","2","forms","A","2019-11-15 14:23:00","2019-11-15 14:11:17"
"15","22",NULL,"forms","D","2019-11-15 14:23:00","2019-11-15 14:11:08"
"16","23","2","forms","A","2019-11-15 14:38:27",NULL
"17","23",NULL,"forms","D","2019-11-15 14:38:27","2019-11-15 14:11:38"
"18","16","2","forms","A","2019-11-15 15:07:02",NULL
"19","16",NULL,"forms","D","2019-11-15 15:07:02","2019-11-15 15:11:42"
"20","4","2","forms","A","2019-11-15 15:22:56",NULL
"21","4",NULL,"forms","D","2019-11-15 15:22:56","2019-11-15 15:11:03"
"22","10","2","forms","A","2019-11-15 17:00:40",NULL
"23","10",NULL,"forms","D","2019-11-15 17:00:40","2019-11-15 17:11:58"
"24","13","2","forms","A","2019-11-15 17:21:59",NULL
"25","13",NULL,"forms","D","2019-11-15 17:21:59","2019-11-15 17:11:21"
"26","17","2","forms","A","2019-11-15 18:22:46",NULL
"27","17",NULL,"forms","D","2019-11-15 18:22:46","2019-11-15 18:11:59"
"28","20","2","forms","A","2019-11-15 18:45:24",NULL
"29","20","2","forms","D","2019-11-15 18:45:24","2019-11-15 18:11:43"
"30","12","2","forms","A","2019-11-15 18:59:11",NULL
"31","12",NULL,"forms","D","2019-11-15 18:59:11","2019-11-15 18:11:36"
"32","15","2","forms","A","2019-11-15 19:33:53",NULL
"33","15",NULL,"forms","D","2019-11-15 19:33:53","2019-11-15 19:11:03"
"34","18","2","forms","A","2019-11-15 19:58:53",NULL
"35","18",NULL,"forms","D","2019-11-15 19:58:53","2019-11-15 19:11:12"
"36","11","2","forms","A","2019-11-16 10:55:46",NULL
"37","11",NULL,"forms","D","2019-11-16 10:55:46","2019-11-16 10:11:56"
"38","14","2","forms","A","2019-11-16 11:23:57",NULL
"39","14",NULL,"forms","D","2019-11-16 11:23:57","2019-11-16 11:11:14"
"40","65",NULL,"forms","D","2019-12-02 11:58:15","2019-12-02 12:12:28"
"41","65","2","forms","D","2019-12-02 12:07:59","2019-12-02 12:12:49"
"42","65",NULL,"forms","D","2019-12-02 12:07:59","2019-12-02 12:12:22"
"43","99","2","form","A","2020-11-27 20:08:02",NULL
"44","121","2","FORMS","A","2021-01-26 11:48:09",NULL
"45","144","2","form","P","2021-06-30 15:05:12",NULL
"46","225","2","forms","D","2023-05-03 16:51:48","2023-05-03 17:05:41"
"48","235","2","forms","P","2023-07-17 15:32:17",NULL
"49","235","2","forms","P","2023-07-17 15:32:17",NULL
"50","273","2","form","A","2024-03-22 14:28:42",NULL
