"id","course_id","course_legal_expert_name","course_specific","status","added_date","modified_date"
"1","1","Legal Expert","Y","A","2019-10-17 14:58:03",NULL
"2","3","What Top Legal Experts and Practitioners Say","Y","D","2019-10-21 18:22:55","2019-10-22 14:10:32"
"3","7","What do top legal experts and practitioners say about this course?","Y","A","2019-10-22 12:41:06","2021-03-25 14:39:46"
"4","6","What do top legal experts and practitioners say about this course?","Y","A","2019-10-22 13:04:45","2023-06-05 14:15:09"
"5","3","What do top legal experts and practitioners say about this course?","Y","D","2019-10-22 14:33:26","2023-09-21 14:09:25"
"6","8","What do top legal experts and practitioners say about this course?","Y","A","2019-10-22 15:39:07","2021-04-04 19:02:21"
"7","10","What do top legal experts and practitioners say about this course?","Y","A","2019-10-22 16:13:08","2021-03-24 13:43:28"
"8","9","What Top Legal Experts and Practitioners Say","Y","A","2019-10-22 18:12:20","2019-10-22 18:20:48"
"9","13","What Top Legal Experts and Practitioners Say","Y","A","2019-10-22 19:18:15",NULL
"10","16","What do top legal experts and practitioners say about this course?","Y","A","2019-10-23 12:51:01","2021-03-24 12:51:18"
"11","23","What Top Legal Experts and Practitioners Say","Y","A","2019-10-23 16:17:37",NULL
"12","2","What Top Legal Experts and Practitioners Say","Y","A","2019-10-23 17:27:20",NULL
"13","22","What do top legal experts and practitioners say about this course?","Y","A","2019-10-23 17:45:43","2021-03-20 16:12:53"
"14","4","What do top legal experts and practitioners say about this course?","Y","A","2019-11-15 16:07:33","2021-03-27 09:43:03"
"15","109","Legal Expert","N","P","2020-10-29 10:16:45",NULL
"16","99","What Top Legal Experts and Practitioners Say","N","A","2020-11-27 20:08:43",NULL
"17","121","What Top Legal Experts and Practitioners Say","Y","A","2021-01-26 13:08:47",NULL
"18","122","What Top Legal Experts and Practitioners Say","Y","D","2021-02-10 22:55:27","2021-02-16 17:02:37"
"19","120","What do top legal experts and practitioners say about this course?","Y","A","2021-02-16 17:26:08","2021-03-27 13:02:11"
"20","144","What Top Legal Experts and Practitioners Say","N","P","2021-06-30 15:05:12",NULL
"21","225","What do top legal experts and practitioners say about this course?","N","D","2023-05-03 16:51:48","2023-05-03 17:05:34"
