"id","course_id","assignment_portal_course_id","course_plan_type_id","added_date","modified_date","status","orginal_price","promotional_price","description","course_plan_position","btn_sign_up","btn_enroll_now","btn_complete_view","installment_facility","no_of_installment","lms_course_id","edmingle_course_id","view_details_link","is_assignment_portal_eligible","plan_has_alias","alias_course_id","show_promo_price","additional_price"
"1","1","170","1","2019-10-17 02:21:54","2022-12-31 01:25:29","A",,,"<p>- Get Sample Material in your inbox</p>

<p>- Regular career guidance on email</p>

<p>- Sample Exercises</p>

<p>- Five very useful lessons</p>

<p>- No Certification for Free Material</p>","1","Y","N","N","N","0",,"0",,"N","N","0","N",NULL
"2","1","170","2","2019-10-17 02:29:03","2020-02-28 07:25:38","A","28000",,"<p>- Printed study material (by courier)</p>

<p>- Practical excercise/Drafting excercises per week(40 weeks)</p>

<p>- 10 writing assignmnets(10 weeks)</p>

<p>- 1 online live class/week(50 weeks)</p>

<p>- Get digital access to entire study materials</p>","2","N","Y","N","Y","2","47893",NULL,,"Y","N",NULL,"N",NULL
"3","1",NULL,"3","2019-10-17 02:52:19","0000-00-00 00:00:00","D","100000",,"<p>- Access to all of Lawsikho.com&#39;s courses for 5 years (including new courses launched in this period)</p>

<p>- Immunity from future price increases for 5 years</p>

<p>- Complimentary access to members-only paid Facebook group for exclusive career opportunities and content</p>

<p>- Inclusion of templates and lessons on your request on a priority basis</p>

<p>- Priority pass for personal coaching, doubt-clearing, customer-support</p>

<p>- Free passes and invitations to all Lawsikho events and meet-ups across India</p>

<p>- Direct mentorship from Ramanuj and Abhyuday</p>

<p>- Personal feedback on as many assignments as you want</p>

<p>- Access to Lawsikho alumni network</p>

<p>- Priority processing for articles submitted to iPleaders blog and Superlawyer interview recommendations</p>","3","N","N","Y","N","0",NULL,NULL,NULL,"N","N",NULL,"N",NULL
"4","2","25","2","2019-10-19 01:56:37","2026-01-25 05:07:45","A","53000","50000","<p>2 practical exercises/ Drafting exercises per week</p>

<p>Article writing assignments (on request)</p>

<p>1 online live class/week&nbsp;</p>

<p>Get digital access to entire study material</p>

<p>Hardcopy study materials- available on additional charges.</p>

<p>Access on LMS, Android &amp; iOS app</p>

<p>Instructor feedback on assignments</p>

<p>Unlimited doubt clearing sessions.</p>

<p>Instructor led course with online live classes</p>

<p>Online exams (give exams as per your convenience on given time slots)</p>

<p>Certificate (by courier)</p>

<p>CV enhancement</p>

<p>Coaching for professional networking</p>

<p>Internship &amp; Job Support</p>

<p>Interview preparation support</p>

<p>Content access for 3 years</p>

<p>Top performers are recommended for jobs and client opportunities (as applicable)</p>","2","N","Y","N","Y","2","122146","19783",,"Y","N","0","N",NULL
"5","2","25","1","2019-10-19 01:58:57","2022-12-28 12:26:49","A",,,"<p>Get Sample Material in your inbox</p>

<p>Regular career guidance on email</p>

<p>Sample Exercises</p>

<p>Five very useful lessons</p>

<p>No certification for free material</p>","1","Y","N","N","N","0",,"0",,"N","N","0","N",NULL
"6","3","37","1","2019-10-21 06:07:47","2022-12-31 01:25:53","A",,,"<p>- Get Sample Material in your inbox</p>

<p>- Regular career guidance on email</p>

<p>- Sample Exercises</p>

<p>- Five very useful lessons</p>

<p>- No Certification for Free Material</p>","1","Y","N","N","N","0",,"0",,"N","N","0","N",NULL
"7","3","37","2","2019-10-21 06:16:29","2024-03-20 05:16:15","A","30000",,"<p>- Printed study material (by courier)</p>

<p>- 1 online live class/ week (12 weeks)</p>

<p>- 2 practical or drafting exercises per week (9 weeks)</p>

<p>- 3 writing assignments (3 weeks)</p>

<p>- Get digital access to entire study material</p>

<p>- Access on LMS, Android &amp; iOS app</p>

<p>- Instructor feedback on assignments</p>

<p>- Doubt clearing on WhatsApp, LMS &amp; classes</p>

<p>- Instructor led course with online live classes</p>

<p>- Online exams (give exams as per your convenience on given time slots)</p>

<p>- Certificate (by courier)</p>

<p>- CV enhancement</p>

<p>- Coaching for professional networking</p>

<p>- Training for writing and publishing articles</p>

<p>- Internship &amp; Job Support</p>

<p>- Interview preparation guidance</p>

<p>- Networking with other students &amp; alumni</p>

<p>- Access to updated content online for 3 years</p>

<p>- Doubt clearing within 24 hours</p>

<p>- Top students are recommended to law firms and companies</p>

<p>- Internship and job support available</p>","2","N","Y","N","N","0","122704","19795",,"Y","N","0","N",NULL
"8","3","37","3","2019-10-21 06:18:58","2022-08-08 05:53:58","A","200000",,"<p>Access to all of Lawsikho.com&#39;s courses for 4 years (including new courses launched in this period)</p>

<p>Immunity from future price increases for 4 years</p>

<p>Complimentary access to members-only paid Facebook group for exclusive career opportunities and content</p>

<p>Inclusion of templates and lessons on your request on a priority basis</p>

<p>Priority pass for personal coaching, doubt-clearing, customer-support</p>

<p>Free passes and invitations to all Lawsikho events and meet-ups across India</p>

<p>Personal feedback on as many assignments as you want</p>

<p>Access to Lawsikho alumni network</p>

<p>Priority processing for articles submitted to iPleaders blog and Superlawyer interview recommendations</p>","3","N","N","Y","N","0",,NULL,,"N","N","0","N",NULL
"9","4","30","1","2019-10-21 06:55:30","2022-12-31 01:26:00","A",,,"<p style=""text-align: justify;"">- Get Sample Material in your inbox</p>

<p style=""text-align: justify;"">- Regular career guidance on email</p>

<p style=""text-align: justify;"">- Sample Exercises</p>

<p style=""text-align: justify;"">- Five very useful lessons</p>

<p style=""text-align: justify;"">- No Certification for Free Material</p>","1","Y","N","N","N","0",,"0",,"N","N","0","N",NULL
"10","4","30","2","2019-10-21 06:56:37","2026-06-16 05:29:35","A","60000",,"<p>1 online live class/ week</p>

<p>2 practical or drafting exercises per week</p>

<p>Get digital access to entire study material</p>

<p>Access on LMS, Android &amp; iOS app</p>

<p>Instructor feedback on assignments</p>

<p>Unlimited doubt clearing sessions.</p>

<p>Instructor led course with online live classes</p>

<p>Online exams (give exams as per your convenience on given time slots)</p>

<p>Certificate (by courier)</p>

<p>CV enhancement</p>

<p>Coaching for professional networking</p>

<p>Training for writing and publishing articles</p>

<p>Internship &amp; Job Support</p>

<p>Interview preparation guidance</p>

<p>Access to updated content online for 3 years</p>

<p>Top students are recommended to law firms and companies (as applicable)</p>","2","N","Y","N","N","0","126473","19797",,"Y","N","0","N",NULL
