"id","section_type_title","status","added_date","modified_date"
"1","Banner","A","1558442305",NULL
"2","Text Content","A","1558442305",NULL
"3","Industry","A","1558442305",NULL
"4","Course Plan","A","1558442305",NULL
"5","Faculty","A","1558442305",NULL
"6","Academia Panel","A","1558442305",NULL
"7","Testimonials","A","1558442310",NULL
"8","Legal Expert","A","1558442305",NULL
"9","FAQ","A","1558442305",NULL
"10","Syllabus","A","1558442350",NULL
"11","Forms","A","1558442350",NULL
"12","Video Testimonials","A","1558442350",NULL
"13","program_overview","A","1558442350",NULL
"14","SpecialSection","D","1558442350",NULL
"15","Promotional Video","A","1558442350",NULL
"16","Quick Overview","A","1619606734",NULL
