"id","course_id","course_syllabus_name","status","added_date","modified_date"
"1","1","Syllabus","A","2019-10-17 15:03:13",NULL
"2","2","Syllabus","D","2019-10-19 13:40:09","2019-10-23 15:10:34"
"3","3","Syllabus","A","2019-10-21 18:23:10",NULL
"4","4","Syllabus","A","2019-10-21 18:59:26",NULL
"5","7","Syllabus","A","2019-10-22 12:42:24",NULL
"6","6","Syllabus","A","2019-10-22 13:06:17",NULL
"7","5","Syllabus","A","2019-10-22 14:20:24",NULL
"8","8","Syllabus","A","2019-10-22 15:38:36",NULL
"9","10","Syllabus","A","2019-10-22 16:13:18",NULL
"10","11","Syllabus","A","2019-10-22 17:44:32",NULL
"11","12","Syllabus","A","2019-10-22 18:16:02",NULL
"12","9","Syllabus","A","2019-10-22 18:21:03",NULL
"13","14","Syllabus","A","2019-10-22 19:08:03",NULL
"14","13","Syllabus","A","2019-10-22 19:52:31",NULL
"15","15","Syllabus","A","2019-10-23 12:37:54",NULL
"16","16","Syllabus","A","2019-10-23 12:51:50",NULL
"17","18","Syllabus","A","2019-10-23 13:00:36",NULL
"18","17","Syllabus","A","2019-10-23 13:18:00",NULL
"19","20","Syllabus","A","2019-10-23 13:41:00",NULL
"20","19","Syllabus","A","2019-10-23 15:02:51",NULL
"21","23","Syllabus","A","2019-10-23 16:18:02",NULL
"22","2","Syllabus","A","2019-10-23 17:28:55",NULL
"23","22","Syllabus","A","2019-10-23 17:51:40",NULL
"24","24","Syllabus","D","2019-10-24 17:14:37","2019-12-10 19:12:54"
"25","26","Syllabus","A","2019-10-25 15:17:09",NULL
"26","28","Syllabus","A","2019-11-12 19:24:36",NULL
"27","29","Syllabus","A","2019-11-12 23:43:11",NULL
"28","30","Syllabus","A","2019-11-13 00:17:15",NULL
"29","31","Syllabus","A","2019-11-13 02:08:23",NULL
"30","32","Syllabus","A","2019-11-13 14:43:53",NULL
"31","33","Syllabus","A","2019-11-13 15:44:09",NULL
"32","34","Syllabus","A","2019-11-13 23:53:33",NULL
"33","35","Syllabus","A","2019-11-14 00:30:42",NULL
"34","36","Syllabus","A","2019-11-14 01:01:26",NULL
"35","37","Syllabus","A","2019-11-14 01:57:39",NULL
"36","38","Syllabus","A","2019-11-14 02:44:35",NULL
"37","39","Syllabus","A","2019-11-15 00:20:13",NULL
"38","40","Syllabus","A","2019-11-15 00:46:32",NULL
"39","41","Syllabus","A","2019-11-15 01:07:23",NULL
"40","42","Syllabus","A","2019-11-15 02:41:48",NULL
"41","61","Syllabus","A","2019-11-21 21:02:33",NULL
"42","62","Syllabus","A","2019-11-21 23:48:05",NULL
"43","67","Syllabus","A","2019-12-10 14:27:57",NULL
"44","68","Syllabus","A","2019-12-10 15:48:50",NULL
"45","69","Syllabus","A","2019-12-10 16:56:59",NULL
"46","70","Syllabus","D","2019-12-10 19:14:49","2021-01-19 15:01:02"
"47","72","Syllabus","A","2020-01-20 14:11:50",NULL
"48","73","Syllabus","A","2020-02-21 16:28:20",NULL
"49","74","Syllabus","A","2020-03-25 19:49:02",NULL
"50","75","Syllabus","A","2020-04-08 18:20:05",NULL
"51","76","Syllabus","A","2020-04-10 16:59:27",NULL
"52","78","Syllabus","A","2020-05-04 15:24:51",NULL
"53","80","Syllabus","A","2020-06-05 13:53:39",NULL
"54","81","Syllabus","A","2020-06-08 18:09:27",NULL
"55","82","Syllabus","A","2020-06-09 13:45:13",NULL
"56","83","Syllabus","A","2020-06-09 19:05:31",NULL
"57","84","Syllabus","A","2020-06-17 11:17:58",NULL
"58","85","Syllabus","A","2020-06-17 11:40:35",NULL
"59","86","Syllabus","A","2020-06-17 11:53:35",NULL
"60","87","Syllabus","A","2020-06-17 12:30:20",NULL
"61","88","Syllabus","A","2020-06-17 12:41:32",NULL
"62","89","Syllabus","A","2020-06-25 15:05:12",NULL
"63","90","Syllabus","A","2020-06-29 20:48:14",NULL
"64","91","Syllabus","A","2020-07-08 09:07:03",NULL
"65","92","Syllabus","A","2020-07-10 21:19:42",NULL
"66","93","Syllabus","A","2020-07-18 15:54:04",NULL
"67","94","Syllabus","A","2020-07-20 15:58:09",NULL
"68","95","Syllabus","A","2020-07-22 13:22:40",NULL
"69","71","Syllabus","A","2020-07-24 15:10:44",NULL
"70","98","Syllabus","A","2020-09-01 14:27:48",NULL
"71","101","Syllabus","A","2020-09-11 13:35:35",NULL
"72","102","Syllabus","D","2020-09-15 14:13:45","2024-04-05 16:04:43"
"73","103","Syllabus","A","2020-09-18 13:35:02",NULL
"74","104","Syllabus","A","2020-09-25 14:18:16",NULL
"75","105","Syllabus","A","2020-10-03 13:26:55",NULL
"76","109","Syllabus","A","2020-10-29 10:16:45",NULL
"77","120","Syllabus","A","2020-12-24 17:30:17",NULL
"78","121","Syllabus","A","2021-01-26 13:10:14",NULL
"79","122","Syllabus","A","2021-02-03 16:40:18",NULL
"80","126","Syllabus","A","2021-04-07 19:10:36",NULL
"81","130","Syllabus","A","2021-04-11 15:08:04",NULL
"82","131","Syllabus","A","2021-04-16 22:02:20",NULL
"83","132","Syllabus","A","2021-04-17 15:30:06",NULL
"84","134","Syllabus","A","2021-04-26 12:59:18",NULL
"85","136","Syllabus","A","2021-05-26 17:21:44",NULL
"86","137","Syllabus","A","2021-05-27 20:12:38",NULL
"87","140","Syllabus","A","2021-06-11 22:31:35",NULL
"88","141","Syllabus","A","2021-06-25 19:50:16",NULL
"89","142","Syllabus","A","2021-06-26 12:49:51",NULL
"90","143","Syllabus","A","2021-06-30 13:52:57",NULL
"91","99","Syllabus","D","2021-06-30 14:59:26","2023-11-24 20:11:50"
"92","144","Syllabus","A","2021-06-30 15:05:12",NULL
"93","145","Syllabus","A","2021-06-30 15:39:32",NULL
"94","146","Syllabus","A","2021-07-22 13:54:00",NULL
"95","147","Syllabus","A","2021-07-24 13:59:38",NULL
"96","148","Syllabus","A","2021-07-24 15:56:54",NULL
"97","149","Syllabus","A","2021-07-24 17:19:52",NULL
"98","150","Syllabus","A","2021-07-25 17:19:24",NULL
"99","152","Syllabus","A","2021-08-13 16:29:35",NULL
"100","153","Syllabus","A","2021-08-14 11:34:45",NULL
