"id","course_id","course_testimonial_name","status","added_date","modified_date"
"1","1","Testimonials","A","2019-10-17 13:46:04",NULL
"2","3","Course Testimonial","A","2019-10-21 17:35:41",NULL
"3","4","Toppers' Testimonials","A","2019-10-21 18:36:25",NULL
"4","5","Toppers' Testimonials","A","2019-10-21 20:41:12",NULL
"5","6","Toppers' Testimonials","A","2019-10-22 11:43:57",NULL
"6","7","Toppers' Testimonials","A","2019-10-22 12:12:15","2020-03-07 15:03:58"
"7","8","Toppers' Testimonials","A","2019-10-22 13:56:37","2019-10-22 14:10:58"
"8","10","Toppers' Testimonials","A","2019-10-22 16:05:09",NULL
"9","9","Toppers' Testimonials","A","2019-10-22 17:37:18",NULL
"10","13","Toppers' Testimonials","A","2019-10-22 19:11:54",NULL
"11","16","Toppers' Testimonials","A","2019-10-23 12:25:29",NULL
"12","17","Toppers' Testimonials","A","2019-10-23 12:49:32","2020-11-17 18:11:02"
"13","22","Toppers' Testimonials","A","2019-10-23 15:50:34",NULL
"14","23","Toppers Testimonials","A","2019-10-23 16:15:12",NULL
"15","2","Toppers' Testimonials","A","2019-10-23 16:30:20","2021-02-19 16:02:53"
"16","11","Toppers' Testimonials","A","2020-03-07 15:48:07",NULL
"17","63","Testimonials of our clients","D","2020-05-25 17:28:56","2020-05-25 19:05:06"
"18","79","Testimonials of our clients","A","2020-05-29 18:52:27","2022-03-20 15:03:49"
"19","62","Our Learners","D","2020-06-03 13:34:32","2021-04-05 11:04:39"
"20","75","Toppers' Testimonials","A","2020-08-12 20:55:15",NULL
"21","109","Testimonials","P","2020-10-29 10:16:45",NULL
"22","121","Toppers' Testimonials","A","2021-01-26 13:03:01","2021-01-26 13:01:32"
"23","78","Toppers' Testimonials","A","2021-01-30 10:24:04","2021-02-19 13:02:07"
"24","178","Our Learners Testimonials","A","2022-02-17 08:33:45","2022-02-18 11:02:20"
"25","102","Success Stories","D","2022-03-10 14:02:06","2024-04-07 11:04:52"
"26","157","Testimonial","A","2022-05-22 16:09:45",NULL
"27","155","Testimonial","A","2022-05-22 16:10:40",NULL
"28","95","Testimonial","A","2022-05-22 16:13:10","2022-05-22 17:05:05"
"29","191","Selected success stories of LawSikho students in competitive exams","A","2022-07-22 14:50:05","2022-12-14 15:12:34"
"30","192","Selected success stories of LawSikho students in competitive exams","A","2022-07-23 12:57:20",NULL
"31","181","Three out of four of our students have achieved success in the Advocate on Record Exam","A","2022-07-29 13:42:32","2023-09-24 15:09:24"
"32","186","Testimonial","A","2022-09-28 21:54:38",NULL
"33","196","Our Student:","A","2022-11-21 20:09:27",NULL
"34","225","Toppers' Testimonials","D","2023-05-03 16:51:48","2023-05-03 17:05:52"
"35","208","Testimonial to course","A","2023-06-05 18:09:10",NULL
"36","140","What if I am 50+?","A","2023-06-27 13:19:41",NULL
"37","198","Testimonials of students","A","2023-06-27 16:47:04",NULL
"38","166","Let me show you our students who are on their way to achieve these things.","A","2023-06-29 13:21:48","2023-06-29 13:06:22"
"39","235","Toppers' Testimonials","P","2023-07-17 15:32:17",NULL
"40","251","Testimonial","A","2023-09-24 12:45:27","2023-09-24 13:09:50"
"41","162","Success Stories","A","2024-05-18 15:41:35","2026-02-23 17:02:12"
"42","163","Testimonials","A","2026-01-29 21:56:33","2026-01-29 22:01:13"
