"id","course_id","course_video_testimonial_name","testimonials_order","testimonials_selected","status","added_date","modified_date"
"1","4","Video Testimonials",NULL,NULL,"D","2020-03-12 10:46:37","2020-07-17 17:07:37"
"2","4","Video Testimonials",NULL,NULL,"D","2020-03-12 10:48:03","2020-07-17 17:07:51"
"3","4","Video Testimonial",NULL,NULL,"D","2020-03-12 10:52:09","2020-07-17 17:07:10"
"4","71","Our Learners",NULL,NULL,"D","2020-03-17 16:59:02","2020-07-24 15:07:43"
"5","6","Our Learners","[""270"",""267"",""191"",""5"",""17"",""48"",""67"",""85"",""102"",""173""]","[""270"",""267"",""5"",""85"",""173""]","D","2020-03-17 16:59:53","2023-07-26 14:07:26"
"6","65","Our Learners","[""121"",""13"",""15""]","[""121"",""13"",""15""]","A","2020-03-17 17:33:57","2020-07-16 19:07:29"
"7","13","Our Learners","[""308"",""298"",""296"",""294"",""287"",""261"",""250"",""230"",""220"",""208"",""192"",""16"",""84"",""156"",""157"",""176"",""183""]","[""308"",""298"",""296"",""294"",""287"",""261"",""250"",""230"",""220"",""208"",""192"",""156"",""157""]","A","2020-03-18 18:41:20","2020-11-26 16:11:30"
"8","18","Our Learners",NULL,NULL,"A","2020-03-19 15:58:40",NULL
"9","32","Our Learners",NULL,NULL,"D","2020-03-24 14:49:06","2021-04-05 20:04:32"
"10","62","Our Learners","[""91"",""97"",""139""]","[""91"",""97"",""139""]","A","2020-03-24 14:49:47","2020-08-05 20:08:11"
"11","12","Our Learners","[""23"",""120"",""180"",""203""]","[""23"",""120""]","A","2020-03-27 11:44:01","2020-08-24 11:08:05"
"12","15","Our Learners",NULL,NULL,"A","2020-03-30 15:10:14",NULL
"13","14","Our Learners","[""310"",""305"",""285"",""112"",""209"",""238""]","[""310"",""305"",""285"",""112"",""209"",""238""]","A","2020-03-30 17:52:18","2020-11-28 14:11:08"
"14","72","Our Learners","[""271"",""269"",""262"",""227"",""33"",""34"",""56"",""126"",""148"",""177""]","[""271"",""262"",""227"",""33"",""126"",""148""]","A","2020-04-06 16:18:38","2020-10-07 15:10:09"
"15","9","Our Learners","[""281"",""280"",""266"",""264"",""254"",""234"",""213"",""32"",""41"",""77"",""93"",""103"",""136"",""154"",""162""]","[""281"",""280"",""266"",""264"",""254"",""234"",""136"",""154"",""162""]","A","2020-04-06 16:22:30","2020-10-16 18:10:14"
"16","33","Our Learners",NULL,NULL,"D","2020-04-08 18:26:38","2020-04-08 18:04:27"
"17","73","Our Learners","[""44"",""45"",""46"",""107"",""124"",""43""]","[""107"",""43""]","A","2020-04-22 18:20:57","2020-07-16 12:07:07"
"18","17","Our Learners","[""268"",""253"",""47"",""61"",""159"",""168"",""169"",""184""]","[""268"",""253"",""61"",""169"",""184""]","A","2020-04-23 19:51:19","2020-10-05 16:10:51"
"19","2","Our Learners","[""309"",""303"",""289"",""263"",""258"",""241"",""237"",""210"",""204"",""186"",""178"",""174"",""172"",""170"",""167"",""163"",""165"",""160"",""155"",""51"",""59"",""62"",""66"",""70"",""74"",""89"",""90"",""94"",""95"",""109"",""113"",""123"",""127"",""131"",""140""]","[""309"",""303"",""289"",""263"",""258"",""241"",""237"",""210"",""172"",""163"",""59"",""62"",""70"",""74"",""109"",""123"",""140""]","D","2020-05-14 19:44:38","2023-07-24 17:07:17"
"20","63","Our Learners","[""79"",""80"",""81"",""82"",""83""]","[""82"",""83""]","D","2020-05-18 08:48:26","2020-07-15 12:07:15"
"21","63","What we have done for some of our past clients",NULL,NULL,"D","2020-05-18 08:51:24","2020-05-25 19:05:14"
"22","10","Our Learners","[""319"",""297"",""257"",""205"",""189"",""50"",""125"",""133"",""143"",""146"",""182"",""185""]","[""319"",""297"",""257"",""205"",""125"",""146"",""182"",""185""]","A","2020-05-19 20:27:29","2021-01-02 00:01:04"
"23","11","Our Learners","[""307"",""229"",""188"",""187"",""52"",""53"",""92"",""106"",""144""]","[""307"",""229"",""188"",""187"",""52"",""144""]","A","2020-05-20 11:27:50","2020-11-25 20:11:22"
"24","22","Our Learners","[""54"",""58"",""63"",""64"",""114"",""115"",""35""]","[""63"",""64"",""115""]","D","2020-05-20 11:46:03","2023-09-30 22:09:07"
"25","22","Our Learners","[""200"",""54"",""58"",""63"",""64"",""114"",""115"",""35""]","[""200"",""54"",""58"",""114""]","A","2020-05-20 11:47:04","2020-08-21 16:08:05"
"26","7","Our Learners","[""218"",""57"",""76"",""96"",""110"",""118"",""119"",""27"",""30"",""40""]","[""218"",""57"",""76"",""118"",""40""]","A","2020-05-20 12:59:29","2020-08-29 20:08:59"
"27","7","Our Learners","[""57"",""76"",""96"",""110"",""118"",""119"",""27"",""30"",""40""]","[""96"",""110"",""119"",""27"",""30""]","A","2020-05-20 13:00:38","2020-07-17 19:07:52"
"28","3","Our Learners","[""314"",""300"",""292"",""274"",""243"",""231"",""228"",""223"",""212"",""198"",""145"",""142"",""25"",""60"",""65"",""72"",""105"",""135""]","[""314"",""300"",""292"",""274"",""243"",""231"",""228"",""212"",""145"",""142"",""60"",""65""]","A","2020-05-20 17:54:01","2020-12-03 10:12:18"
"29","19","Our Learners","[""71"",""101"",""10"",""18"",""29""]","[""71"",""101"",""10"",""18"",""29""]","D","2020-05-21 19:04:43","2022-01-13 17:01:18"
"30","16","Our Learners","[""260"",""256"",""242"",""233"",""226"",""222"",""221"",""73"",""111"",""122"",""153""]","[""260"",""256"",""242"",""233"",""226"",""222"",""221"",""122""]","P","2020-05-21 19:58:21","2023-05-03 16:05:29"
"31","23","Our Learners",NULL,NULL,"A","2020-05-25 15:30:22",NULL
"32","63","Our Learners","[""306"",""304"",""282"",""214"",""206"",""141"",""7"",""28"",""49"",""68"",""75"",""79"",""80"",""81"",""83""]","[""306"",""304"",""282"",""214"",""206"",""141"",""7"",""49"",""80""]","A","2020-05-27 14:31:53","2020-11-25 16:11:33"
"33","63","Our Learners","[""141"",""7"",""28"",""49"",""68"",""75"",""79"",""80"",""81"",""83""]","[""28"",""68"",""75"",""79""]","A","2020-05-27 14:33:28","2020-08-05 18:08:23"
"34","63","Our Learners",NULL,NULL,"D","2020-05-27 14:33:45","2020-07-15 12:07:57"
"35","79","What we have done for some of our past clients",NULL,NULL,"A","2020-05-29 18:42:08","2020-05-29 18:05:19"
"36","76","Our Learners","[""320"",""317"",""316"",""312"",""301"",""299"",""293"",""275"",""252"",""249"",""248"",""246"",""244"",""239"",""225"",""224"",""217"",""211"",""196"",""98"",""99"",""203"",""108"",""132"",""149""]","[""320"",""317"",""316"",""312"",""301"",""299"",""293"",""275"",""252"",""249"",""248"",""246"",""239"",""225"",""217"",""196"",""98"",""108"",""149""]","A","2020-06-03 15:05:00","2021-01-02 14:01:18"
"37","20","Our Learners","[""11"",""100"",""137"",""138""]","[""11"",""100""]","A","2020-06-05 17:57:00","2020-07-18 19:07:25"
"38","8","Our Learners","[""116"",""117"",""134"",""199"",""201"",""207""]","[""116"",""117"",""207""]","A","2020-06-19 16:56:46","2020-08-25 20:08:58"
"39","84","Video Testi top","[""128"",""129"",""130""]","[""128"",""129""]","A","2020-07-02 19:54:51",NULL
"40","84","Video Teti midle","[""128"",""129"",""130""]","[""129"",""130""]","A","2020-07-02 19:55:19",NULL
"41","84","Video Testi bottom","[""130"",""129"",""128""]","[""130"",""129""]","A","2020-07-02 19:56:04",NULL
"42","2","Another Video of Hasnain alvi","[""14"",""51"",""59"",""62"",""66"",""70"",""74"",""89"",""90"",""94"",""95"",""109"",""113"",""123"",""127"",""131""]","[""14""]","D","2020-07-10 15:45:34","2023-07-24 17:07:43"
"43","63","Our Learners","[""7"",""28"",""49"",""68"",""75"",""79"",""80"",""81"",""83""]","[""68"",""75""]","A","2020-07-15 14:23:37",NULL
"44","73","Our Learners","[""43"",""44"",""45"",""46"",""107"",""124""]","[""45"",""124""]","A","2020-07-16 12:27:58",NULL
"45","73","Our Learners","[""43"",""44"",""45"",""46"",""107"",""124""]","[""44"",""46""]","A","2020-07-16 12:32:27",NULL
"46","2","Our Learners","[""210"",""204"",""186"",""178"",""174"",""172"",""170"",""167"",""163"",""165"",""160"",""155"",""51"",""59"",""62"",""66"",""70"",""74"",""89"",""90"",""94"",""95"",""109"",""113"",""123"",""127"",""131"",""140""]","[""204"",""186"",""178"",""167"",""51"",""66"",""90"",""113"",""131""]","D","2020-07-16 14:45:26","2023-07-24 17:07:39"
