"id","faculty_name","faculty_designation","faculty_organisation","faculty_linkedin","image_name","added_date","modified_date","status"
"1","Abhyuday Agarwal","Co-Founder and COO, Lawsikho (former corporate lawyer)",NULL,"linkedin.in","Abhyuday Agarwal-1605809398.jpg","1571301606","1605809398","A"
"2","Harsh Jain","Co-Founder (Lawsikho), Mentor, Life Coach, Veteran Judiciary and competitive exam Coach, UGC-NET, JRF, Author, Blogger, Managing Editor (iPleaders blog), competitive exam strategy expert",NULL,"https://in.linkedin.com/in/harsh-jain-667359159","Harsh Jain-1588605731.jpg","1571301747","1659072634","A"
"3","Komal Shah","Co-founder and Chief Knowledge Officer, LawSikho, former in-house counsel and company secretary with over a decade of experience in securities, funds and capital markets",NULL,"https://in.linkedin.com/in/komalshah2","Komal Shah-1594915115.jpg","1571302086","1618223615","A"
"4","Ritesh Thakkar","Senior consultant - Business Tax Advisory, Ernst & Young LLP",NULL,"https://www.linkedin.com/in/ritesh-thakkar-b4957648/","Ritesh Thakkar-1571726489.jpg","1571726489",NULL,"A"
"5","Shivi Agarwal","Partner, Amicus Services",NULL,,"Shivi Agarwal-1571739275.jpg","1571739275",NULL,"A"
"6","Vishakha Gupta","Litigator, Former Associate at Trilegal",NULL,"https://www.linkedin.com/in/vishakha-gupta-54775399/","Vishakha Gupta-1571739325.jpg","1571739325",NULL,"A"
"7","Ritisha Mukherjee","Senior Associate, ANM Global, Ex- Excel Entertainment",NULL,"https://www.linkedin.com/in/ritisha-mukherjee-057a6a109/","ritisha-mukherjee-1617805663.jpg","1571743793","1618666823","A"
"8","Silpa Das","Associate, Saikrishna & Associates",NULL,"https://www.linkedin.com/in/silpa-das-079215158/","Silpa Das-1575461800.jpg","1571743813","1575461800","A"
"9","Nayan Rawal","IP Attorney, NRALAW",NULL,"https://www.linkedin.com/in/rawalnayan/","Nayan Rawal-1571747204.jfif","1571747204",NULL,"A"
"10","Bhumesh Verma","Founder & Managing Partner, Corp Comm Legal",NULL,"https://www.linkedin.com/in/bhumeshverma/","Bhumesh Verma-1571747716.jpg","1571747716",NULL,"A"
"11","Murali Neelakantan","Principal at amicus",NULL,"https://www.linkedin.com/in/muralineelakantan/","Murali Neelakantan-1571747756.jpg","1571747756",NULL,"A"
"12","Nipun Bhatia","Vice President, Strategic process & process redesigning, Legal League Consulting",NULL,"https://www.linkedin.com/in/nipun-bhatia-7083bb50/","Nipun Bhatia-1571747802.jpg","1571747802",NULL,"A"
"13","Nitin Potdar","Corporate Lawyer M&A Partner J. Sagar Associates",NULL,"https://www.linkedin.com/in/nitinpotdar/","Nitin Potdar-1571747846.jpg","1571747846",NULL,"A"
"14","Prachi Shrivastava","Founder, Lawfinity, former Editor, LegallyIndai",NULL,"linkedin.com/in/prachi-lawfinity-solutions/","Prachi Shrivastava-1571747884.jpg","1571747884",NULL,"A"
"15","Ramanuj Mukherjee","CEO and Co-Founder, iPleaders",NULL,"https://www.linkedin.com/in/ramanujm/","Ramanuj Mukherjee-1571747920.jpg","1571747920",NULL,"A"
"16","Ujjawal Satsangi","Advocate, High Court, Allahabad",NULL,"https://www.linkedin.com/in/ujjawal-satsangi-9aba3644/?originalSubdomain=in","Ujjawal Satsangi-1571750566.jpg","1571750566",NULL,"A"
"17","Shalvi Mehta","Advocate, Saurin Mehta & Associates, Ex-AM Legals, GNLU",NULL,"https://www.linkedin.com/in/shalvi-s-mehta-a269b9ab/","Shalvi Mehta-1591339446.jpg","1571751800","1618658722","A"
"18","Niharika Malhotra","Independent Practitioner Former Associate, United IPR",NULL,"https://www.linkedin.com/in/niharika-malhotra-0b102638/","Niharika Malhotra-1571814141.jpg","1571814141",NULL,"A"
"19","Anand Narayan","Manager - Legal, Anand Rathi",NULL,"https://www.linkedin.com/in/anand-narayan-63b37520/","Anand Narayan-1571815167.jpg","1571815167",NULL,"A"
