"id","course_id","question","answer","faq_position","added_date","modified_date","status","question_tag"
"1","1","Who is going to certify the Diploma? What is the value of the Diploma on the CV?","<p class=""sm:text-sm text-xl mt-4 leading-normal cd-faq-a"">None of our courses are recognised, accredited, or validated by any university, government or third party. We consider government regulatory standards as impediment to offering high quality courses we offer at an affordable cost, and hence offer informal, non recognised courses rather than collaborating with formal universities.</p>

<p class=""sm:text-sm text-xl mt-4 leading-normal cd-faq-a"">This course is offered as a skill development course by a private company. LawSikho is India&rsquo;s leading online legal education provider and provides high quality legal courses that teaches you how to do practical legal work as required by the industry.</p>

<p class=""sm:text-sm text-xl mt-4 leading-normal cd-faq-a"">For any recruiter or client, what matters the most is whether you possess the relevant skills to match their needs and serve their interests. We will train your in rare and important skills that are highly in-demand and our initiative is one of a kind.</p>

<p class=""sm:text-sm text-xl mt-4 leading-normal cd-faq-a"">Experts review the syllabus and course content for all the courses. These experts are drawn from law firms and the industry at large. The course is conceptualised, co-ordinated and marketed by LawSikho, a venture that aims to make justice accessible to people from all walks of life through access to superior legal knowledge.</p>

<p class=""sm:text-sm text-xl mt-4 leading-normal cd-faq-a"">The legal industry knows and respects our work, and they know that anyone who finished our course and obtained certification has a certain level of knowledge and skills. If nothing else, you will be appreciated for the knowledge and skills you would acquire through our courses and would be able to demonstrate after due completion</p>","1","2019-10-17 03:09:52","2019-10-17 15:10:50","A","0"
"2","1","Who can enrol for the Diploma Courses?","<p class=""sm:text-sm text-xl mt-4 leading-normal cd-faq-a"">We recommend that you should have completed your higher secondary / Class 12 from a recognized board / University. In case of foreign nationals, you should have completed the equivalent of Higher Secondary in India in your respective country.</p>

<p class=""sm:text-sm text-xl mt-4 leading-normal cd-faq-a"">You should also be comfortable with English language and using a computer. However, we have no formal pre-qualification requirements because we are not a university or college. Anyone who wants to learn are welcome to join our courses.</p>","2","2019-10-17 03:10:14","2019-10-17 15:10:50","A","0"
"3","1","Are international students also sent hardcopy material?","<p>If an international student require hardcopy material, they need to share their correct address and we will let them know the cost of courier which they need to pay and then the hardcopy will be dispatched. This is the process because the cost of international courier is very high compared to domestic courier within India (for domestic courier we have no additional charges). Some international students provide us with an Indian address for couriering hard copy material. In those cases, we charge nothing extra for courier.</p>","3","2019-10-17 03:11:32","2019-10-17 15:10:50","A","0"
"4","1","How do I figure out if the Diploma course covers a specific topic I want to learn about?","<p>A person can visit <a href=""https://lawsikho.com"">lawsikho.com</a> and find the relevant course and see the course syllabus, learning objectives and even list of weekly exercises. You can also subscribe for free sample material. If more clarification about the course is needed, feel free to chat with our online chat specialist. You could also call us on our landline number, i.e. 011- 40845203 for further assistance.</p>","4","2019-10-17 03:11:55","2019-10-17 15:10:50","A","0"
"5","1","Are there any minimum attendance requirements?","<p class=""sm:text-sm text-xl mt-4 leading-normal cd-faq-a"">There are no minimum attendance requirements, as the course shall be taught online through a learning management system which allows you to pursue the course at your own pace and convenience.</p>

<p class=""sm:text-sm text-xl mt-4 leading-normal cd-faq-a"">Online Weekly Classrooms will be conducted for 40 minutes to an hour - Attendance is recommended. Feedbacks by our experts on your assignments submitted, is the goal of our sessions. Submitting of a minimum of 50 exercises ( 40 exercises + 10 Writing assignments) is mandatory to pass the course. You would have 1 MCQ test for all Diploma courses which gets live in the 11th month of course and is available till whole 1 month time period, a student can attempt the test anytime in that one month but in one sitting of 2 hours.</p>","5","2019-10-17 03:12:24","2019-10-17 15:10:50","A","0"
"78","24","Test Question -1","<p>Answer Question no-1-Barhacker</p>",NULL,"2019-11-15 06:06:29","2019-11-15 06:07:54","A","0"
"79","24","Question no 2","<p>This is Answer general question number -2-- Barhacker</p>",NULL,"2019-11-15 06:06:29","2019-11-15 06:07:08","A","0"
"80","24","Question 3 Barhaker","<p>This is bar hacker-1</p>",NULL,"2019-11-15 06:09:47",NULL,"A","0"
"576","37","How is our training methodology unique and industry proven? Is it endorsed by the legal industry in India or abroad?","<p>Our training methodology is unique. While it is not endorsed by any outside authority, the success of our students speaks for itself. Our methodology is described in detail in the previous questions. The legal industry loves to hire our students who have gone through the entire training we have provided. Major companies have been hiring us to train their legal teams and managerial executives with cutting edge legal courses. This is the proof of our success.</p>",NULL,"2019-12-17 10:28:10",NULL,"A","0"
"577","37","Can I get personal guidance in working on assignments which I find difficult?","<p>We will point you out the relevant reading material as well as templates and precedences you need to solve an assignment. You can also freely discuss with other students in the course whatsapp group. You can post queries in the learning management system as well while working on assignments. During the live sessions you can ask questions to expert and get your issue resolved. Sometimes it may be possible to schedule a call with evaluators and discuss with them but this is at the discretion of the evaluator and at a time of his or her convenience. We cannot handle unlimited calls with every small question, you have to respect the time and availability of the evaluators also. For that you already have the learning management system as well as whatsapp group where you can post an unlimited number of doubts.</p>",NULL,"2019-12-17 10:28:10",NULL,"A","0"
"578","37","What is online live class?","<p>These are video conference based classes that you can attend from mobile, tablet and personal computer through an application. You can see the teacher and the teacher can see you. You can even share your screen with the teacher for comments if the teacher requests and the teacher can show you his or her screen. You can see other people attending the class also. There is usually a lot of discussions amongst the students and teachers in the class. It is very much like a live classroom except that you do not have to travel to access the class, you can access it on the go as long as you have internet and a device.</p>",NULL,"2019-12-17 10:28:10",NULL,"A","0"
"579","37","If the course is not recognised how is it useful?","<p>There are many certified courses in the market, including LLB which is a qualifying criteria for becoming a lawyer. The problem is that even after doing them, people do not have requisite advanced level practical skills needed to succeed. You can learn these things from our courses. Our students who are already working earn over 1 lakh rupees per month in an average. That should give you an idea about what is so beneficial about our courses!</p>",NULL,"2019-12-17 10:28:10",NULL,"A","0"
"580","37","What if we submit all assignments but miss the MCQ?","<p>Completing assignments and MCQ test is mandatory to clear the course. If that is not done you won&rsquo;t get the certificate of the course.</p>",NULL,"2019-12-17 10:28:10",NULL,"A","0"
"581","37","Is there any written exam at the end of the course?","<p>Yes, You will have to attempt just one MCQ test at the end of the course.</p>",NULL,"2019-12-17 10:28:10",NULL,"A","0"
"582","37","Does the certificate have marks or grade mentioned","<p>None of our courses are recognised, accredited, or validated by any university, government or third party. We consider government regulatory standards as impediment to offering high quality courses we offer at an affordable cost, and hence offer informal, non recognised courses rather than collaborating with formal universities.</p>

<p>This course is offered as a skill development course by a private company. LawSikho is India&rsquo;s leading online legal education provider and provides high quality legal courses that teaches you how to do practical legal work as required by the industry.</p>

<p>For any recruiter or client, what matters the most is whether you possess the relevant skills to match their needs and serve their interests. We will train your in rare and important skills that are highly in-demand and our initiative is one of a kind.</p>

<p>Experts review the syllabus and course content for all the courses. These experts are drawn from law firms and the industry at large. The course is conceptualised, co-ordinated and marketed by LawSikho, a venture that aims to make justice accessible to people from all walks of life through access to superior legal knowledge.</p>

<p>The legal industry knows and respects our work, and they know that anyone who finished our course and obtained certification has a certain level of knowledge and skills. If nothing else, you will be appreciated for the knowledge and skills you would acquire through our courses and would be able to demonstrate after due completion</p>",NULL,"2019-12-17 10:28:10",NULL,"A","0"
"583","37","Who can enrol for the Diploma Courses? 1","<p>We recommend that you should have completed your higher secondary / Class 12 from a recognized board / University. In case of foreign nationals, you should have completed the equivalent of Higher Secondary in India in your respective country.</p>

<p>You should also be comfortable with English language and using a computer. However, we have no formal pre-qualification requirements because we are not a university or college. Anyone who wants to learn are welcome to join our courses.</p>",NULL,"2019-12-17 10:28:10",NULL,"A","0"
"584","37","What if I don't perform the weekly exercises?","<p style=""text-align: justify;"">Weekly exercises are very important to learn the practical aspects for which you joined the course. You get sufficient time to complete those. In case you can&rsquo;t complete within due date you get an extension to complete them with deduction of few marks. But if at least 50% of weekly exercises are not completed you will not get a certificate of course and the value for which you joined the course either.</p>",NULL,"2019-12-17 10:28:10",NULL,"A","0"
"585","37","Is this course recognized by any third party or Govt Authority?","<p style=""text-align: justify;"">LawSikho courses are offered by a private company as a solution to learn practical skills. There is no recognition, no accreditation and no affiliation from government or any University or any third party.</p>",NULL,"2019-12-17 10:28:10",NULL,"A","0"
"586","37","Do you conduct exams after completing the course?","<p style=""text-align: justify;"">Exams are conducted during the course duration only, not after the completion of course.</p>",NULL,"2019-12-17 10:28:10",NULL,"A","0"
"587","37","What if I am unable to complete the course in time?","<div>
<div>
<p style=""text-align: justify;"">A student is given a total time of 14 months from his batch commencement date to submit the minimum number of required assignments, if they fail to do so, they can submit their pending assignments after the 14th month with a late fee of Rs 100/- for every assignment delayed. They will get 2 months grace period to submit their pending assignments after paying the late fee. For those wanting to submit the assignments after 16 months from their course commencement date, will not be allowed to pay late fees, they will have to migrate to the future batch within 3 years from the enrollment date after paying the migration fee and following the rules of migration.</p>
</div>
</div>",NULL,"2019-12-17 10:28:10",NULL,"A","0"
"588","37","What if I want to migrate from one batch to another batch?","<p style=""text-align: justify;"">Yes, you can migrate from one batch to another after paying a migration fee of INR 2000/- (or as per the prescribed fee pertaining at the time of migration), and the difference in the course fee between the admitted batch and transferee batch, if any. If migrated, the work or assignments submitted earlier by you will not be considered.</p>",NULL,"2019-12-17 10:28:10",NULL,"A","0"
"589","37","What if I want to migrate from one course to another?","<p style=""text-align: justify;"">Migration from one course to another is possible, but student should reach and email the support team within 10 days from the enrollment date. Any requests after 10 days will not be accepted.</p>",NULL,"2019-12-17 10:28:10",NULL,"A","0"
