"id","person_name","person_designation","person_organisation","person_linkedin","person_website_link","status","image_name","added_date","modified_date"
"1","Abhyuday Agarwal","COO and Co-Founder, LawSikho",NULL,"https://in.linkedin.com/",NULL,"A","Abhyuday Agarwal-1571747300.jpg","1571300340","1571747300"
"2","Anjani Kumar","Chartered Accountant and Corporate Trainer",NULL,,,"A","Anjani Kumar-1573809512.jpg","1571300379","1573809512"
"3","Anuj Shah","Partner, Khaitan & Co. (KCO), Mumbai",NULL,,,"A","Anuj Shah-1600013933.jpg","1571301411","1600013933"
"4","Arpit Ratan","Founder, Signzy Technologies, featured in Forbes 30 under 30",NULL,"https://in.linkedin.com/",,"A","Arpit Ratan-1584959899.jpg","1571301455","1584959899"
"5","Avisha Gupta","COOO",NULL,,NULL,"A","Avisha Gupta-1571473211.png","1571473211",NULL
"6","Harsh Jain","Co-Founder (Lawsikho), Mentor, Life Coach, Veteran Judiciary and competitive exam Coach, UGC-NET, JRF, Author, Blogger, Managing Editor (iPleaders blog), competitive exam strategy expert",NULL,"https://in.linkedin.com/in/harsh-jain-667359159",,"A","harsh-jain-1672227704.jpeg","1571659730","1672227715"
"7","Jimit Shah","Founding Partner, JPS Legal",NULL,"https://www.linkedin.com/in/jimit-shah-3395299/",NULL,"A","Jimit Shah-1571663328.jpg","1571663328",NULL
"8","Ketan Mukhija","Partner, P&A Law Offices (Former General Counsel of SREI Group)",NULL,"https://www.linkedin.com/in/kmukhija/",NULL,"A","Ketan Mukhija-1571663514.jpg","1571663514",NULL
"9","Komal Shah","Co-founder and Chief Knowledge Officer, LawSikho",NULL,"https://www.linkedin.com/in/komalshah2/?originalSubdomain=in",,"A","Komal Shah-1579270146.jpg","1571663603","1618223694"
"10","Ramanuj Mukherjee","CEO and Co-Founder, iPleaders and LawSikho",NULL,"https://www.linkedin.com/in/ramanujm/",,"A","Ramanuj Mukherjee-1584959959.jpg","1571663704","1584959959"
"11","Sameer Jain","Founder & Managing Partner - PSL Advocates & Solicotors Member - ICC Commission on Arbitration & ADR",NULL,"https://www.linkedin.com/in/sameer-jain-mciarb-64067516/",NULL,"A","Sameer Jain-1571663823.jpg","1571663823",NULL
"12","Shivi Agarwal","Partner, Amicus Services",NULL,,NULL,"A","Shivi Agarwal-1571663995.jpg","1571663995",NULL
"13","Suhas Baliga","Principal at Innove Law",NULL,"https://www.linkedin.com/in/suhas-baliga-4b4bb414/",NULL,"A","Suhas Baliga-1571733542.jpg","1571664024","1571733542"
"14","Sunil Agarwal","Senior Standing Counsel, Delhi High Court, Ex-IRS, Ex Senior Partner, AZB and Partners, teaches international tax",NULL,"https://www.linkedin.com/in/sunilagarwal1986/",,"A","Sunil Agarwal-1571664119.jpg","1571664119","1664089591"
"15","Ashitha Bhagwan","Counsel, Inventus Law, Palo Alto, California",NULL,"https://www.linkedin.com/in/ashithabhagwan/",NULL,"A","Ashitha Bhagwan-1571672045.jpg","1571672045",NULL
"16","Dr. Debasis Bhattacharya","Founder Director, Institute Of Corporate Sustainability Management and",NULL,"https://www.linkedin.com/in/drbhattacharya/?originalSubdomain=in",NULL,"A","Dr. Debasis Bhattacharya-1571672124.jpg","1571672124",NULL
"17","Dr. Yade Lal Tekhre","Director, NHRC",NULL,"https://www.linkedin.com/in/yade-lal-tekhre-0375a726/?originalSubdomain=in",NULL,"A","Dr. Yade Lal Tekhre-1571672284.jpg","1571672284",NULL
"18","Pingal Khan Bhaduri","Partner, Ashlar Law",NULL,"https://www.linkedin.com/in/pingal-khan-bhaduri-7534069/?originalSubdomain=in",,"A","Pingal Khan Bhaduri-1584960014.jpg","1571672387","1584960014"
"19","Binoy Parikh","Chartered Accountant, Katalyst Advisors LLP",NULL,"https://www.linkedin.com/in/binoyparikh/?originalSubdomain=in",NULL,"A","Binoy Parikh-1571726145.jpg","1571726145",NULL
"20","Jigar Shah","Chartered Accountant, Partner, S. K. Rathi & Co.",NULL,"https://www.linkedin.com/in/jigar-shah-741158132/",NULL,"A","Jigar Shah-1571726361.jpg","1571726361",NULL
"21","Ritesh Thakkar","Senior consultant - Business Tax Advisory, Ernst & Young LLP",NULL,"https://www.linkedin.com/in/ritesh-thakkar-b4957648/",NULL,"A","Ritesh Thakkar-1571726419.jpg","1571726419",NULL
