"id","legal_expert_name","legal_expert_designation","legal_expert_organisation","image_name","added_date","modified_date","status","course_id","legal_expert_comment","sequence_tag"
"1","VVR Babu","Chief Information Officer","ITC Limited","VVR Babu-1571304587.jpg","2019-10-17 02:59:47","0000-00-00 00:00:00","A","1","<p>Good overview and basic knowledge of all legal matters that pertain to starting and running a business.</p>","0"
"2","Prof. Shamnad Basheer","Former MHRD Prof. IP Law, Founder of SpicyIP","IDIA (Amicus Curiae in the Novartis case)","Prof. Shamnad Basheer-1571304689.jpg","2019-10-17 03:01:29","0000-00-00 00:00:00","A","1","<p>This well-structured and easily accessible course could not have been more timely.</p>","1"
"3","Sameer Sibal","Partner","Jerome Merchant & Partners","Sameer Sibal-1580977823.jpg","2019-10-17 03:02:15","0000-00-00 00:00:00","A","1","<p>Lawsikho is doing a good job at identifying what needs to be taught to make students industry-ready. We have had several law students who have pursued an iPleaders or Lawsikho courses and who then interned or worked with us, and they have consistently been better than what we see typically of law students</p>","2"
"4","Abhinav Ashwin","Tax Partner (Taxation)","AZB & Partners","Abhinav Ashwin-1571727847.jpg","2019-10-22 12:34:07","0000-00-00 00:00:00","A","7","<p>The modules of this course are designed with due care and attention to address significant and pertinent aspects which one encounters on a daily basis in commerce and transactions, rather than being merely academic. It is heartening to see that the modules present a significant interface with practical aspects of taxation laws like valuations, financial statements as well. Learners who are aware and conversant with these aspects are bound to contribute significantly in shaping the legal and tax policy of their organizations, irrespective of whether they are client facing or in house.</p>","0"
"5","Sunil Agarwal","Senior Partner (Taxation)","AZB & Partners and Former Additional Commissioner of Income Tax","Sunil Agarwal-1571727917.jpg","2019-10-22 12:35:17","0000-00-00 00:00:00","A","7","<p>Learning corporate taxation will enable you to work in tax firms, Big Four Accounting firms and as a tax lawyer in corporate law firms, apart from excelling as an arguing counsel in tax litigation. You will also be able to structure transactions as a corporate lawyer more effectively, as tax considerations are critical for structuring. The course outline is fairly detailed in that regard.</p>","1"
"6","Ashutosh Rastogi","Partner","Amicus (Recommended by Legal 500 for Tax & Transfer Pricing)","Ashutosh Rastogi-1571727984.jpg","2019-10-22 12:36:24","0000-00-00 00:00:00","A","7","<p>The course outline is good, and Lawsikho has a very innovative methodology to ensure delivery of practical insights.</p>","2"
"7","Noopoor Shah","Consultant","Chartered Accountant","Noopoor Shah-1571728076.jpg","2019-10-22 12:37:56","0000-00-00 00:00:00","A","7","<p>It looks like a good mix of predominantly direct taxation, International taxation and the basics of GST. It&rsquo;s made of elements you will actually use in your day to day work related to corporate taxation rather than a detailed study of a whole lot of things which might be dealt with once in a while. Study of allowable expenses in income from business or profession, insights of DTAAs, tax havens, transfer pricing etc. and dispute resolution can be quite beneficial to someone looking to work in this field.</p>","3"
"8","Smith Jhaveri","Partner","Ekvity Ventures LLP","Smith Jhaveri-1571728131.jpg","2019-10-22 12:38:51","0000-00-00 00:00:00","A","7","<p>The direct taxation impact of practically all different corporate transactions visibly seems to be covered. It also deals with international taxation which is a definite value add. Stamp duty can sometimes be a factor driving or pulling back a deal and that is covered as well, which makes the course quite comprehensive.</p>","4"
"9","Suhit Aggarwal","Head, Direct Taxes","Airtel","Suhit Aggarwal-1571728201.jpg","2019-10-22 12:40:01","0000-00-00 00:00:00","A","7","<p>The course outline is extensive and practical. I would like to congratulate Lawsikho team for bringing out a comprehensive course on tax laws. I have found that curriculum has been carefully selected to cover most relevant aspects of corporate tax regime with a practical approach. There seems a fine balance between provisions of domestic income tax, International tax and GST. It also provides advance topics such as GAAR, POEM and BEPS in line with Indian Revenue Authorities recent initiatives to keep pace with Global developments. I think this course will prove very useful for every tax person whether in practice or industry.</p>","5"
"10","Garima Srivastava","Senior Associate","Lakshmi Kumaran & Sridharan","Garima Srivastava-1571729312.jpg","2019-10-22 12:56:26","0000-00-00 00:00:00","A","6","<p style=""text-align: center;"">M&amp;A and banking and finance are the &#39;bread and butter&#39; of corporate lawyers. Adequate insights on these areas are missing in the law school curriculum. This course aims to impart adequate skill-sets and practical insights around these areas.</p>","0"
"11","Jayantika Ganguly","Principal Associate","Khaitan & Co.","Jayantika Ganguly-1571729291.jpg","2019-10-22 12:58:11","0000-00-00 00:00:00","A","6","<p style=""text-align: center;"">This course deals with all the relevant concepts to work in the M&amp;A or debt finance team of a corporate law firm. The syllabus covers concepts, regulations, compliance aspects, contracts and practical exercises, and thus provides a solid foundation for learning.</p>","1"
"12","Dhwani Shah","Former Associate in Khaitan & Co. and Wadia Ghandy","Khaitan & Co. and Wadia Ghandy","Dhwani Shah-1571729326.jpg","2019-10-22 12:58:46","0000-00-00 00:00:00","A","4","<p style=""text-align: justify;"">With notification of the RERA, the real estate law across different parts of the country has become difficult to grasp. This is a great start to teach the framework of real estate legislations and to identify the common principles of the new law. This course will assist students in understanding how the law works. Students who pursue this will be sufficiently trained to identify, extract and comprehend the relevant aspects of applicable law in a number of states.</p>","0"
"13","Ketan Mukhija","Partner","P&A Law Offices (Former General Counsel of SREI Group)","Ketan Mukhija-1571729396.jpg","2019-10-22 12:59:56","0000-00-00 00:00:00","A","6","<p style=""text-align: center;"">This course deals adequately with the routes and different kinds of concepts associated with public and private acquisitions and debt finance. Regulatory and contractual aspects for both domestic and international finance are dealt with sufficiently to train someone who wants to be a corporate lawyer or an in-house counsel.</p>","2"
"14","Neha Mary Koshy","Lawyer (Banking and Finance) at HSB Partners","HSB Partners","Neha Mary Koshy-1571729422.jpg","2019-10-22 01:00:22","0000-00-00 00:00:00","A","4","<p style=""text-align: justify;"">There is a significant gap between what you learn when you study Transfer of Property Act and real estate work. This course is an excellent initiative to bridge that gap and will benefit learners.</p>","1"
"15","Sameer Sibal","Partner","Jerome Merchant & Partners","Sameer Sibal-1571729591.jpg","2019-10-22 01:03:11","0000-00-00 00:00:00","A","6","<p style=""text-align: center;"">Lawsikho is doing a good job at identifying what needs to be taught to make students industry-ready. We have had several law students who have pursued an iPleaders or Lawsikho courses and who then interned or worked with us, and they have consistently been better than what we see typically of law students</p>","3"
"16","Amish Aggarwala","Central Government Counsel","Supreme Court of India","Amish Aggarwala-1571734625.jpg","2019-10-22 02:27:05","0000-00-00 00:00:00","A","3","<p _ngcontent-c38="""">If such a course was available when I was studying in college, I would have definitely taken it up. The exercise-based method will really ensure that you are trained on skills which you need to use everyday in court.</p>","0"
"17","Dhruv Kumra","Independent litigator","Independent litigator","Dhruv Kumra-1571734710.jpg","2019-10-22 02:28:30","0000-00-00 00:00:00","A","3","<p>The course teaches critical skills pertinent to arbitration and the method of teaching concepts by making people perform exercises and discussing them in online classrooms every week is innovative.</p>","1"
"18","Gaurav Gupta","Litigator","Chambers of Gaurav Gupta","Gaurav Gupta-1571734764.jpg","2019-10-22 02:29:24","0000-00-00 00:00:00","A","3","<p>This course is very practical and teaches what is required by a young litigator to start off a practice in criminal law. It can save stress in the initial years.</p>","2"
"19","Kishan Gurjar","Additional District and Sessions Judge","Rajasthan High Court","Kishan Gurjar-1571734813.jpg","2019-10-22 02:30:13","0000-00-00 00:00:00","A","3","<p>This is a unique course and I am sure that it will solve an important need in the education system. Usually courses in India do not provide such practical insights.</p>","3"
"20","Priyanka Raj","Standing Counsel at Prasar Bharti","Former Associate at Chambers of Rajeev Sharma","Priyanka Raj-1571734866.jpg","2019-10-22 02:31:06","0000-00-00 00:00:00","A","3","<p>This course teaches practical skills a litigator must know when he or she starts practice, and typically one spends about one to two years learning this. Learning this ahead of time can give you an edge.</p>","4"
"21","Shiva Priyamvada","Assistant Professor","Delhi University","Shiva Priyamvada-1571734912.jpg","2019-10-22 02:31:52","0000-00-00 00:00:00","A","3","<p>This is a very practical course, and supplements a law student&#39;s learning really well with what they study in law school.</p>","5"
"22","Jigar Shah","Chartered Accountant, Partner, S. K. Rathi & Co.","S. K. Rathi & Co.","Jigar Shah-1571738022.jpg","2019-10-22 03:23:42","0000-00-00 00:00:00","A","8","<p style=""text-align: justify;"">This is one of the very few practical courses on company law. Colleges teach only the theoretical aspects of Company law but this course deals with questions like &quot;Why to Incorporate a company&quot;. It is one of it&#39;s kind</p>","0"
"23","Devika Singh","Corporate Lawyer (Former Associate at Dua, Archer and Angel and Clasis Law)","Dua, Archer and Angel and Clasis Law","Devika Singh-1571738088.jpg","2019-10-22 03:24:48","0000-00-00 00:00:00","A","8","<p style=""text-align: justify;"">I have seen the design and syllabus of Lawsikho courses at close quarters, and they teach practical skills relevant for day to day work performed by corporate lawyers. These skills are not taught in law school and will be highly beneficial while working in law firms. If there was something like this available back when I was in law school, I would have definitely taken it up. This diploma course is very comprehensive and will benefit anyone who intends to build a practice in corporate law or work in a law firm.</p>","1"
"24","Garima Srivastava","Senior Associate, Lakshmi Kumaran & Sridharan","Lakshmi Kumaran & Sridharan","Garima Srivastava-1571738205.jpg","2019-10-22 03:26:45","0000-00-00 00:00:00","A","8","<p style=""text-align: justify;"">Company law can be quite abstract, and this is a very useful course for anyone who wants to quickly acquire practical insights and move forward.</p>","2"
"25","Binoy Parikh","Chartered Accountant, Katalyst Advisors LLP","Katalyst Advisors LLP","Binoy Parikh-1571738283.jpg","2019-10-22 03:28:03","0000-00-00 00:00:00","A","8","<p style=""text-align: justify;"">This course lays down the building blocks for understanding the maze of Companies Act, 2013 (and its related rules) in a very methodical manner. It seeks to captures the essence of not only the plethora of concepts but also the procedures and best practices in the arena of corporate law. This course would be useful to the students of corporate law, to students who contemplate to take up the practice of corporate law or to practitioners themselves.</p>","3"
"26","Manushi Desai","Lawyer, Gujarat High Court","Gujarat High Court","Manushi Desai-1571738875.jpg","2019-10-22 03:37:55","0000-00-00 00:00:00","A","8","<p style=""text-align: justify;"">This is an excellent way to impart practical learning. The samples and checklists will be very relevant, and the exercise-based method will give you an opportunity to apply course learning by yourself and gain confidence.</p>","4"
"27","Neha Mary Koshy","Lawyer (Banking and Finance)","HSB Partners","Neha Mary Koshy-1571739428.jpg","2019-10-22 03:47:08","0000-00-00 00:00:00","A","10","<p>The course provides a very solid commercial perspective of how lawyers can use the Insolvency and Bankruptcy Code to meet client goals.</p>","0"
"28","Dhwani Shah","Former Associate","Khaitan & Co. and Wadia Ghandy","Dhwani Shah-1571739489.jpg","2019-10-22 03:48:09","0000-00-00 00:00:00","A","10","<p>An understanding of IBC is critical for corporate and banking lawyers and those who want to build a practice in dispute resolution. This course promises to teach that in a very interesting way.</p>","1"
"29","Prachi Johri","Corporate Litigator","working on several ongoing IBC matters","Prachi Johri-1571739544.jpg","2019-10-22 03:49:04","0000-00-00 00:00:00","A","10","<p>This course is very comprehensive in its coverage of the practical aspects of IBC litigation and strategy. Those who perform the exercises will acquire very handy skills.</p>","2"
"30","Pulkit Agarwal","Associate","JP Associates, a Delhi-based litigation firm","Pulkit Agarwal-1571739607.jpg","2019-10-22 03:50:07","0000-00-00 00:00:00","A","10","<p>I was quite excited and happy to see someone work on IBC in this way - the exercise-method is innovative. Creation of expertise around insolvency laws will be beneficial for lawyers, business and the Indian economy in general</p>","3"
"31","Raghuram Cadambi","Advocate","Karnataka High Court (Former Senior Associate at Trilegal)","Raghuram Cadambi-1571739663.jpg","2019-10-22 03:51:03","0000-00-00 00:00:00","A","10","<p>The course covers a blend of commercial and legal aspects in an intuitive and sequential manner and serves as an invaluable companion to understanding the scheme of the Insolvency and Bankruptcy Code</p>","4"
"32","Shivi Rastogi","Partner","Amicus (Former Partner at Dhir & Dhir Associates)","Shivi Rastogi-1571739733.jpg","2019-10-22 03:52:13","0000-00-00 00:00:00","A","10","<p>It is difficult to acquire an understanding of insolvency laws for young lawyers, but they need to account for the same in their advice to clients. The design of this course is such that learners will get a comprehensive understanding of insolvency law work and the applicability of insolvency law to money recovery and business disputes</p>","5"
"33","Ameet Datta","Partner","Saikrishna & Associates","Ameet Datta-1571748516.jpg","2019-10-22 06:13:50","0000-00-00 00:00:00","A","9","<p>I have interacted and had alumni of Lawsikho training programs work in our organization, and I can see the difference, in terms of superior approach to problem solving and work-related skills in young law students and graduates. Lawsikho has put in effort in their programs.</p>","0"
"34","Dhara Doshi","Associate (Contractual and Commercial IP)","Anand and Anand","Dhara Doshi-1580981013.jpg","2019-10-22 06:17:53","0000-00-00 00:00:00","A","9","<p style=""text-align: center;"">This course is designed in a very unique way to cover popular issues that are faced everyday by practitioners and makes learning very intuitive and exciting.</p>","1"
