"id","industry_name","image_name","status","added_date","modified_date"
"1","Real Estate","Real Estate-1575370797.svg","A","1566220925","1659072491"
"2","Heavy Industries","Heavy Industries-1566220949.svg","A","1566220949",NULL
"3","Media","Media-1566220966.svg","A","1566220966",NULL
"4","Construction","Construction-1566220986.svg","A","1566220986",NULL
"5","Energy","Energy-1566221022.svg","A","1566221022",NULL
"6","Banking","banking-1566976496.svg","A","1566976496","1615188088"
"7","Legal","legal-1566976817.svg","A","1566976817","1615188129"
"8","Finance","finance-1566976841.svg","A","1566976841","1615188160"
"9","Insurance","insurance-1566976872.svg","A","1566976872","1615188041"
"10","Law","Law-1571472537.jpg","A","1571472537",NULL
"11","Radio","Radio-1571739488.svg","A","1571739488",NULL
"12","Media Entertainment","Media Entertainment-1571739825.svg","A","1571739825",NULL
"13","Music","Music-1571739855.svg","A","1571739855",NULL
"14","Broadcasting","Broadcasting-1571739882.svg","A","1571739882",NULL
"15","Sports","Sports-1571739925.svg","A","1571739925",NULL
"16","Fashion","Fashion-1571739950.svg","A","1571739950",NULL
"17","Art","Art-1571739966.svg","A","1571739966",NULL
"18","Digital Marketing","Digital Marketing-1571739990.svg","A","1571739990",NULL
"19","Technology","Technology-1571740009.svg","A","1571740009",NULL
"20","FMCG","FMCG-1571740025.svg","A","1571740025",NULL
"21","PHARMACEUTICALS","PHARMACEUTICALS-1571812483.svg","A","1571812483",NULL
"22","LPO","LPO-1571812695.svg","A","1571812695",NULL
"23","E-COMMERCE","E-COMMERCE-1571812793.svg","A","1571812793",NULL
"24","FOOD AND BEVERAGES","FOOD AND BEVERAGES-1607163141.svg","A","1571812845","1607163141"
"25","HOSPITALITY","HOSPITALITY-1571812885.svg","A","1571812885",NULL
"26","AUTOMOBILE","AUTOMOBILE-1571812926.svg","A","1571812926",NULL
"27","REGULATORY AND BOURSES","REGULATORY AND BOURSES-1607163191.svg","A","1571814028","1607163191"
"28","STOCK-BROKERS","STOCK-BROKERS-1571814055.svg","A","1571814055",NULL
"29","PORTFOLIO MANAGEMENT COMPANIES","PORTFOLIO MANAGEMENT COMPANIES-1607163213.svg","A","1571814078","1607163213"
"30","MERCHANT BANKERS","MERCHANT BANKERS-1607163249.svg","A","1571814099","1607163249"
"31","OTHER SECURITIES MARKET INTERMEDIARIES","OTHER SECURITIES MARKET INTERMEDIARIES-1607163276.svg","A","1571814160","1607163276"
"32","MINING","MINING-1571817175.svg","A","1571817175",NULL
"33","GOVERNMENT","GOVERNMENT-1571817329.svg","A","1571817329",NULL
"34","MANUFACTURING","MANUFACTURING-1575101909.svg","A","1571817632","1575101909"
"35","ADVERTISING","ADVERTISING-1575101936.svg","A","1571817858","1575101936"
"36","FINTECH","FINTECH-1586415350.svg","A","1571987340","1586415350"
"37","NBFC","NBFC-1586417306.svg","A","1586417306",NULL
"38","Infrastructure","Infrastructure-1586417338.svg","A","1586417328","1586417338"
"39","Public Sector","Public Sector-1586417373.svg","A","1586417363","1586417373"
"40","Information technology","Information technology-1599834745.svg","A","1599834745",NULL
"41","Software development","Software development-1599834764.svg","A","1599834764",NULL
"42","Telecommunications","Telecommunications-1599834788.svg","A","1599834788",NULL
"43","Chemical industry","Chemical industry-1599834814.svg","A","1599834814",NULL
"44","Intellectual property law firms","Intellectual property law firms-1599834876.svg","A","1599834876",NULL
"45","All service law  firms","All service law  firms-1599834908.svg","A","1599834908",NULL
"46","IP consultancies","IP consultancies-1599834943.svg","A","1599834943",NULL
"47","Test icon by tech team","test-icon-by-tech-team-1612934764.png","D","1612934715","1612934805"
"48","TestINDByTECHTEAM","testindbytechteam-1613562988.jpg","D","1613562950","1613563189"
"49","TestBYTECHTEAM1","testbytechteam1-1613564331.jpg","D","1613564282","1613564964"
"50","TestINDMaster1","testindmaster1-1613567994.jpg","D","1613567948","1613568042"
"51","test","test-1633064603.png","D","1633064603","1633064696"
"52","TestingIndistry","testingindistry-1757505360.jpg","P","1757505360",NULL
