"id","course_id","module_name","added_date","modified_date","status"
"1","1","Structuring a Business","2019-10-17 03:03:35",NULL,"A"
"2","1","Taxation, basic accounting and import-export","2019-10-17 03:06:21",NULL,"A"
"3","2","ORIENTATION AND TOOLS FOR EFFECTIVE CONTRACT DRAFTING","2019-10-19 01:40:41","2019-10-23 05:31:49","A"
"22","7","TAX ON BUSINESS INCOME","2019-10-22 12:42:49",NULL,"A"
"23","7","TAX ON EXECUTIVE REMUNERATION","2019-10-22 12:45:10",NULL,"A"
"24","7","TAX DEDUCTION AT SOURCE/ WITHHOLDING TAX","2019-10-22 12:46:32",NULL,"A"
"25","7","DEDUCTIBILITY OF BUSINESS AND PROFESSIONAL EXPENSE","2019-10-22 12:48:21",NULL,"A"
"26","7","TAX ON M&A AND OTHER BUSINESS TRANSACTIONS","2019-10-22 12:50:02",NULL,"A"
"27","7","BENAMI TRANSACTIONS AND BLACK MONEY LAW","2019-10-22 12:52:02",NULL,"A"
"28","7","HOW TO COMPLY WITH TAX LAWS","2019-10-22 12:58:14",NULL,"A"
"29","7","CONSEQUENCES OF VIOLATION OF TAX LAWS","2019-10-22 12:59:19",NULL,"A"
"30","7","INTERNATIONAL TAXATION AND DTAAS","2019-10-22 01:01:34",NULL,"A"
"31","7","TAX HAVENS AND STRUCTURING","2019-10-22 01:05:07",NULL,"A"
"32","7","ADVANCED ISSUES IN INTERNATIONAL TAX","2019-10-22 01:08:22",NULL,"A"
"33","6","M&A TRANSACTION STRUCTURES AND M&A CONCEPTS","2019-10-22 01:10:12",NULL,"A"
"34","7","INTERNATIONAL TAX: PENALTIES & DISPUTE RESOLUTION","2019-10-22 01:10:41",NULL,"A"
"35","7","INTERNATIONAL TRANSFER PRICING","2019-10-22 01:12:46",NULL,"A"
"36","7","STAMP DUTY","2019-10-22 01:15:26",NULL,"A"
"37","7","GOODS AND SERVICES TAX","2019-10-22 01:17:01",NULL,"A"
"38","6","SHARE ACQUISITIONS AND INVESTMENT TRANSACTIONS","2019-10-22 01:17:44",NULL,"A"
"39","7","TAX LITIGATION: DRAFTING AND FILING BEFORE DIFFERENT AUTHORITIES","2019-10-22 01:20:46",NULL,"A"
"40","6","FDI AND CROSS-BORDER M&A TRANSACTIONS","2019-10-22 01:22:43",NULL,"A"
"41","6","PUBLIC COMPANY M&A: TAKEOVER CODE","2019-10-22 01:26:41",NULL,"A"
"42","6","COURT-APPROVED M&AS AND DEMERGERS","2019-10-22 01:29:48",NULL,"A"
"43","6","EMPLOYMENT ISSUES IN M&A TRANSACTIONS","2019-10-22 01:31:14",NULL,"A"
"44","6","REGULATORY AND TAX ISSUES IN M&A TRANSACTIONS","2019-10-22 01:33:23",NULL,"A"
"45","6","DELISTING","2019-10-22 01:36:37",NULL,"A"
"46","6","DUE DILIGENCE: THE ESSENTIAL PRECURSOR TO AN M&A TRANSACTION","2019-10-22 01:37:55",NULL,"A"
"47","6","DISPUTES AND EXIT","2019-10-22 01:40:30",NULL,"A"
