"id","title","status","url_masking","ap_portal_course_catagory_id"
326,"Strategic HR for Startups and Emerging Industries","A","certificate-course-in-strategic-hr-for-startups",10
46,"Litigation Library","A","litigation-library",1
9,"Diploma in Intellectual Property, Media and Entertainment Laws","A","diploma-intellectual-property-media-entertainment-laws",1
10,"Certificate Course in Insolvency and Bankruptcy Code","A","insolvency-bankruptcy-code-ibc-nclt-sarfaesi",1
104,"mbaoffer","A","mbaoffer",4
149,"Certificate Course in Legal Drafting for HR Managers","A","certificate-course-in-legal-drafting-for-hr-managers",2
219,"Independent Directors’ Professional Development Program","A","training-program-to-crack-the-independent-directors-exam",16
2,"Diploma in Advanced Contract Drafting, Negotiation and Dispute Resolution","A","diploma-advanced-contract-drafting-negotiation-dispute-resolution",1
4,"Certificate Course in Real Estate Laws","A","certificate-real-estate-rera",11
5,"Diploma in Technology Law, Fintech Regulations and Technology Contracts","A","diploma-in-cyber-law-fintech-regulations-and-technology-contracts",1
6,"Diploma in M&A, Institutional Finance and Investment Laws (PE and VC transactions)","A","diploma-m-a-institutional-finance-investment-laws",1
13,"Certificate Course in Arbitration: Strategy, Procedure and Drafting","A","certificate-arbitration-adr-dispute-resolution-drafting",11
15,"Certificate Course in Trademark Licensing, Prosecution and Litigation","A","certificate-course-in-trademark-licensing-prosecution-and-litigation",11
16,"Diploma in General Corporate Practice: Transactions, Governance, and Disputes","A","diploma-in-general-corporate-practice-transactions-governance-and-disputes",1
17,"Certificate Course in Advanced Civil Litigation: Practice, Procedure and Drafting","A","certificate-course-in-advanced-civil-litigation-practice-procedure-and-drafting",10
19,"Certificate Course in Prevention of Sexual Harassment at the Workplace","A","certificate-course-in-prevention-of-sexual-harassment-at-the-workplace",11
20,"(OLD) Certificate Course in Labour, Employment and Industrial Laws for HR Managers","A","labour-law-hr-managers",13
21,"Diploma in Business Laws for In-House Counsels","A","diploma-entrepreneurship-administration-business-laws",1
22,"Diploma in Industrial and Labour Laws","A","diploma-industrial-labour-laws",1
24,"Dream Job Boot Camp","A","dream-law-firm-job-bootcamp",3
