"id","course_id","banner_name","image_name","show_syllabus","show_enroll_now","show_refund_policy","show_enroll_close_date","show_free_download","status","banner_type","use_as_listing","banner_listing","added_date","modified_date","infographic_value","banner_tagline","show_banner_tagline","show_banner_share","banner_sub_desc","show_sub_desc","show_banner_phone","banner_phone","show_counselling_call","show_new_theme"
"1","1","Main Banner","9e1d499f81a7e525d8f9d8b353d6100d.jpg","Y","Y","Y","Y","Y","A","primary",NULL,NULL,"2019-10-17 13:31:42","2020-10-21 20:10:03",NULL,NULL,"N","N",NULL,"N","N",NULL,"N","N"
"2","2","banner","739f20a1b0c4ce3ff72c1f6c249e078a.jpg","N","Y","Y","Y","Y","A","primary",NULL,,"2019-10-19 13:18:17","2024-11-01 12:11:36",NULL,"8500+ Learners Enrolled","Y","Y","Master the high-demand art of contract drafting with a global perspective, work for international clients, and earn at least USD 1000-3000 per month in just 6 months!","Y","Y","+91 80474 86192","Y","Y"
"3","3","banner",NULL,"N","N","N","N","Y","D",NULL,NULL,NULL,"2019-10-21 16:43:00","2019-10-21 16:10:40",NULL,NULL,"N","N",NULL,"N","N",NULL,"N","N"
"4","3","banner",NULL,"N","N","N","N","Y","D",NULL,NULL,NULL,"2019-10-21 16:56:06","2019-10-21 16:10:14",NULL,NULL,"N","N",NULL,"N","N",NULL,"N","N"
"5","4","Banner","36cfdb17b892297fd1e5ea87f789d19d.jpg","N","Y","Y","Y","Y","A","primary",NULL,,"2019-10-21 17:11:34","2024-11-01 12:11:16",NULL,"700+  Learners Enrolled","Y","Y",,"N","Y","+91 80474 86192","Y","Y"
"6","3","banner","e7627a7b223d082232ae48621228039d.jpg","N","Y","Y","Y","Y","A","primary",NULL,,"2019-10-21 17:52:38","2024-11-01 12:11:22",NULL,"2100+ Learners Enrolled","Y","Y",,"N","Y","+91 80474 86192","Y","Y"
"7","6","Banner","b09e0e61fcdf915d1e4f3ebd6881b640.jpg","N","Y","Y","Y","Y","A","primary",NULL,,"2019-10-21 19:13:09","2026-06-02 14:06:44",NULL,"2600+ Learners Enrolled","Y","Y","Enhance your skills and work at top corporate law firms and be part of news-making corporate acquisitions","Y","Y","+91 80474 86192","Y","Y"
"8","7","banner","1ea23dd893bde6cd9d451cdfb8a5dea0.jpg","Y","Y","Y","Y","Y","A",NULL,NULL,NULL,"2019-10-22 11:36:21","2019-11-19 15:11:59",NULL,NULL,"N","N",NULL,"N","N",NULL,"N","N"
"9","8","Banner","3423e8a42751b5357ef7e6a3cc600ac2.jpg","Y","Y","N","N","N","A","primary",NULL,NULL,"2019-10-22 13:26:26","2020-08-04 21:08:50",NULL,NULL,"N","N",NULL,"N","N",NULL,"N","N"
"10","10","banner","d7d396753fc1e9bbb68d77f42183c578.jpg","Y","Y","Y","Y","Y","A",NULL,NULL,NULL,"2019-10-22 14:37:36","2019-11-19 15:11:39",NULL,NULL,"N","N",NULL,"N","N",NULL,"N","N"
